,Location,IndicatorCode,Indicator,ValueType,ParentLocationCode,ParentLocation,Location type,SpatialDimValueCode,Period type,Period,IsLatestYear,Dim1 type,Dim1,Dim1ValueCode,Dim2 type,Dim2,Dim2ValueCode,Dim3 type,Dim3,Dim3ValueCode,DataSourceDimValueCode,DataSource,FactValueNumericPrefix,FactValueNumeric,FactValueUoM,FactValueNumericLowPrefix,FactValueNumericLow,FactValueNumericHighPrefix,FactValueNumericHigh,Value,FactValueTranslationID,FactComments,Language,DateModified,IndicatorCoder,Indicatorr,ValueTyper,ParentLocationCoder,ParentLocationr,Location typer,SpatialDimValueCoder,Period typer,Periodr,IsLatestYearr,Dim1 typer,Dim1r,Dim1ValueCoder,Dim2 typer,Dim2r,Dim2ValueCoder,Dim3 typer,Dim3r,Dim3ValueCoder,DataSourceDimValueCoder,DataSourcer,FactValueNumericPrefixr,FactValueNumericr,FactValueUoMr,FactValueNumericLowPrefixr,FactValueNumericLowr,FactValueNumericHighPrefixr,FactValueNumericHighr,Valuer,FactValueTranslationIDr,FactCommentsr,Languager,DateModifiedr
2,Monaco,MDG_0000000020,Incidence of tuberculosis (per 100 000 population per year),text,EUR,Europe,Country,MCO,Year,2019,False,,,,,,,,,,,,,0.0,,,0.0,,0.0,0 [0-0],,,EN,2024-10-27T23:00:00.000Z,TB_c_newinc,Tuberculosis - new and relapse cases,numeric,EUR,Europe,Country,MCO,Year,2019,False,,,,,,,,,,,,,0,,,,,,0,,,EN,2025-01-08T23:00:00.000Z
4,"occupied Palestinian territory, including east Jerusalem",MDG_0000000020,Incidence of tuberculosis (per 100 000 population per year),text,EMR,Eastern Mediterranean,Country,PSE,Year,2019,False,,,,,,,,,,,,,0.53,,,0.41,,0.67,0.53 [0.41-0.67],,,EN,2024-10-27T23:00:00.000Z,TB_c_newinc,Tuberculosis - new and relapse cases,numeric,EMR,Eastern Mediterranean,Country,PSE,Year,2019,False,,,,,,,,,,,,,21,,,,,,21,,,EN,2025-01-08T23:00:00.000Z
5,United Arab Emirates,MDG_0000000020,Incidence of tuberculosis (per 100 000 population per year),text,EMR,Eastern Mediterranean,Country,ARE,Year,2019,False,,,,,,,,,,,,,0.98,,,0.84,,1.1,0.98 [0.84-1.1],,,EN,2024-10-27T23:00:00.000Z,TB_c_newinc,Tuberculosis - new and relapse cases,numeric,EMR,Eastern Mediterranean,Country,ARE,Year,2019,False,,,,,,,,,,,,,80,,,,,,80,,,EN,2025-01-08T23:00:00.000Z
12,Saudi Arabia,MDG_0000000020,Incidence of tuberculosis (per 100 000 population per year),text,EMR,Eastern Mediterranean,Country,SAU,Year,2019,False,,,,,,,,,,,,,11.0,,,9.6,,12.0,11 [9.6-12],,,EN,2024-10-27T23:00:00.000Z,TB_c_newinc,Tuberculosis - new and relapse cases,numeric,EMR,Eastern Mediterranean,Country,SAU,Year,2019,False,,,,,,,,,,,,,2936,,,,,,2936,,,EN,2025-01-08T23:00:00.000Z
13,Kyrgyzstan,MDG_0000000020,Incidence of tuberculosis (per 100 000 population per year),text,EUR,Europe,Country,KGZ,Year,2019,False,,,,,,,,,,,,,110.0,,,94.0,,127.0,110 [94-127],,,EN,2024-10-27T23:00:00.000Z,TB_c_newinc,Tuberculosis - new and relapse cases,numeric,EUR,Europe,Country,KGZ,Year,2019,False,,,,,,,,,,,,,6138,,,,,,6138,,,EN,2025-01-08T23:00:00.000Z
17,Egypt,MDG_0000000020,Incidence of tuberculosis (per 100 000 population per year),text,EMR,Eastern Mediterranean,Country,EGY,Year,2019,False,,,,,,,,,,,,,12.0,,,10.0,,13.0,12 [10-13],,,EN,2024-10-27T23:00:00.000Z,TB_c_newinc,Tuberculosis - new and relapse cases,numeric,EMR,Eastern Mediterranean,Country,EGY,Year,2019,False,,,,,,,,,,,,,8046,,,,,,8046,,,EN,2025-01-08T23:00:00.000Z
18,North Macedonia,MDG_0000000020,Incidence of tuberculosis (per 100 000 population per year),text,EUR,Europe,Country,MKD,Year,2019,False,,,,,,,,,,,,,12.0,,,9.1,,15.0,12 [9.1-15],,,EN,2024-10-27T23:00:00.000Z,TB_c_newinc,Tuberculosis - new and relapse cases,numeric,EUR,Europe,Country,MKD,Year,2019,False,,,,,,,,,,,,,199,,,,,,199,,,EN,2025-01-08T23:00:00.000Z
20,Estonia,MDG_0000000020,Incidence of tuberculosis (per 100 000 population per year),text,EUR,Europe,Country,EST,Year,2019,False,,,,,,,,,,,,,13.0,,,11.0,,15.0,13 [11-15],,,EN,2024-10-27T23:00:00.000Z,TB_c_newinc,Tuberculosis - new and relapse cases,numeric,EUR,Europe,Country,EST,Year,2019,False,,,,,,,,,,,,,147,,,,,,147,,,EN,2025-01-08T23:00:00.000Z
22,Iran (Islamic Republic of),MDG_0000000020,Incidence of tuberculosis (per 100 000 population per year),text,EMR,Eastern Mediterranean,Country,IRN,Year,2019,False,,,,,,,,,,,,,13.0,,,9.8,,16.0,13 [9.8-16],,,EN,2024-10-27T23:00:00.000Z,TB_c_newinc,Tuberculosis - new and relapse cases,numeric,EMR,Eastern Mediterranean,Country,IRN,Year,2019,False,,,,,,,,,,,,,8524,,,,,,8524,,,EN,2025-01-08T23:00:00.000Z
24,Bahrain,MDG_0000000020,Incidence of tuberculosis (per 100 000 population per year),text,EMR,Eastern Mediterranean,Country,BHR,Year,2019,False,,,,,,,,,,,,,14.0,,,12.0,,16.0,14 [12-16],,,EN,2024-10-27T23:00:00.000Z,TB_c_newinc,Tuberculosis - new and relapse cases,numeric,EMR,Eastern Mediterranean,Country,BHR,Year,2019,False,,,,,,,,,,,,,178,,,,,,178,,,EN,2025-01-08T23:00:00.000Z
26,Serbia,MDG_0000000020,Incidence of tuberculosis (per 100 000 population per year),text,EUR,Europe,Country,SRB,Year,2019,False,,,,,,,,,,,,,14.0,,,12.0,,17.0,14 [12-17],,,EN,2024-10-27T23:00:00.000Z,TB_c_newinc,Tuberculosis - new and relapse cases,numeric,EUR,Europe,Country,SRB,Year,2019,False,,,,,,,,,,,,,1106,,,,,,1106,,,EN,2025-01-08T23:00:00.000Z
32,Lebanon,MDG_0000000020,Incidence of tuberculosis (per 100 000 population per year),text,EMR,Eastern Mediterranean,Country,LBN,Year,2019,False,,,,,,,,,,,,,15.0,,,13.0,,17.0,15 [13-17],,,EN,2024-10-27T23:00:00.000Z,TB_c_newinc,Tuberculosis - new and relapse cases,numeric,EMR,Eastern Mediterranean,Country,LBN,Year,2019,False,,,,,,,,,,,,,757,,,,,,757,,,EN,2025-01-08T23:00:00.000Z
33,Montenegro,MDG_0000000020,Incidence of tuberculosis (per 100 000 population per year),text,EUR,Europe,Country,MNE,Year,2019,False,,,,,,,,,,,,,15.0,,,13.0,,17.0,15 [13-17],,,EN,2024-10-27T23:00:00.000Z,TB_c_newinc,Tuberculosis - new and relapse cases,numeric,EUR,Europe,Country,MNE,Year,2019,False,,,,,,,,,,,,,80,,,,,,80,,,EN,2025-01-08T23:00:00.000Z
34,Poland,MDG_0000000020,Incidence of tuberculosis (per 100 000 population per year),text,EUR,Europe,Country,POL,Year,2019,False,,,,,,,,,,,,,15.0,,,13.0,,17.0,15 [13-17],,,EN,2024-10-27T23:00:00.000Z,TB_c_newinc,Tuberculosis - new and relapse cases,numeric,EUR,Europe,Country,POL,Year,2019,False,,,,,,,,,,,,,4983,,,,,,4983,,,EN,2025-01-08T23:00:00.000Z
38,Türkiye,MDG_0000000020,Incidence of tuberculosis (per 100 000 population per year),text,EUR,Europe,Country,TUR,Year,2019,False,,,,,,,,,,,,,16.0,,,13.0,,18.0,16 [13-18],,,EN,2024-10-27T23:00:00.000Z,TB_c_newinc,Tuberculosis - new and relapse cases,numeric,EUR,Europe,Country,TUR,Year,2019,False,,,,,,,,,,,,,11247,,,,,,11 247,,,EN,2025-01-08T23:00:00.000Z
39,Albania,MDG_0000000020,Incidence of tuberculosis (per 100 000 population per year),text,EUR,Europe,Country,ALB,Year,2019,False,,,,,,,,,,,,,16.0,,,14.0,,19.0,16 [14-19],,,EN,2024-10-27T23:00:00.000Z,TB_c_newinc,Tuberculosis - new and relapse cases,numeric,EUR,Europe,Country,ALB,Year,2019,False,,,,,,,,,,,,,412,,,,,,412,,,EN,2025-01-08T23:00:00.000Z
49,Afghanistan,MDG_0000000020,Incidence of tuberculosis (per 100 000 population per year),text,EMR,Eastern Mediterranean,Country,AFG,Year,2019,False,,,,,,,,,,,,,189.0,,,122.0,,270.0,189 [122-270],,,EN,2024-10-27T23:00:00.000Z,TB_c_newinc,Tuberculosis - new and relapse cases,numeric,EMR,Eastern Mediterranean,Country,AFG,Year,2019,False,,,,,,,,,,,,,52438,,,,,,52 438,,,EN,2025-01-08T23:00:00.000Z
50,Syrian Arab Republic,MDG_0000000020,Incidence of tuberculosis (per 100 000 population per year),text,EMR,Eastern Mediterranean,Country,SYR,Year,2019,False,,,,,,,,,,,,,19.0,,,15.0,,24.0,19 [15-24],,,EN,2024-10-27T23:00:00.000Z,TB_c_newinc,Tuberculosis - new and relapse cases,numeric,EMR,Eastern Mediterranean,Country,SYR,Year,2019,False,,,,,,,,,,,,,2589,,,,,,2589,,,EN,2025-01-08T23:00:00.000Z
51,Portugal,MDG_0000000020,Incidence of tuberculosis (per 100 000 population per year),text,EUR,Europe,Country,PRT,Year,2019,False,,,,,,,,,,,,,19.0,,,16.0,,22.0,19 [16-22],,,EN,2024-10-27T23:00:00.000Z,TB_c_newinc,Tuberculosis - new and relapse cases,numeric,EUR,Europe,Country,PRT,Year,2019,False,,,,,,,,,,,,,1720,,,,,,1720,,,EN,2025-01-08T23:00:00.000Z
53,Israel,MDG_0000000020,Incidence of tuberculosis (per 100 000 population per year),text,EUR,Europe,Country,ISR,Year,2019,False,,,,,,,,,,,,,2.9,,,2.5,,3.3,2.9 [2.5-3.3],,,EN,2024-10-27T23:00:00.000Z,TB_c_newinc,Tuberculosis - new and relapse cases,numeric,EUR,Europe,Country,ISR,Year,2019,False,,,,,,,,,,,,,217,,,,,,217,,,EN,2025-01-08T23:00:00.000Z
55,Kuwait,MDG_0000000020,Incidence of tuberculosis (per 100 000 population per year),text,EMR,Eastern Mediterranean,Country,KWT,Year,2019,False,,,,,,,,,,,,,20.0,,,18.0,,24.0,20 [18-24],,,EN,2024-10-27T23:00:00.000Z,TB_c_newinc,Tuberculosis - new and relapse cases,numeric,EMR,Eastern Mediterranean,Country,KWT,Year,2019,False,,,,,,,,,,,,,791,,,,,,791,,,EN,2025-01-08T23:00:00.000Z
58,Djibouti,MDG_0000000020,Incidence of tuberculosis (per 100 000 population per year),text,EMR,Eastern Mediterranean,Country,DJI,Year,2019,False,,,,,,,,,,,,,210.0,,,160.0,,265.0,210 [160-265],,,EN,2024-10-27T23:00:00.000Z,TB_c_newinc,Tuberculosis - new and relapse cases,numeric,EMR,Eastern Mediterranean,Country,DJI,Year,2019,False,,,,,,,,,,,,,1825,,,,,,1825,,,EN,2025-01-08T23:00:00.000Z
60,Malta,MDG_0000000020,Incidence of tuberculosis (per 100 000 population per year),text,EUR,Europe,Country,MLT,Year,2019,False,,,,,,,,,,,,,22.0,,,19.0,,26.0,22 [19-26],,,EN,2024-10-27T23:00:00.000Z,TB_c_newinc,Tuberculosis - new and relapse cases,numeric,EUR,Europe,Country,MLT,Year,2019,False,,,,,,,,,,,,,98,,,,,,98,,,EN,2025-01-08T23:00:00.000Z
63,Bulgaria,MDG_0000000020,Incidence of tuberculosis (per 100 000 population per year),text,EUR,Europe,Country,BGR,Year,2019,False,,,,,,,,,,,,,23.0,,,18.0,,29.0,23 [18-29],,,EN,2024-10-27T23:00:00.000Z,TB_c_newinc,Tuberculosis - new and relapse cases,numeric,EUR,Europe,Country,BGR,Year,2019,False,,,,,,,,,,,,,1288,,,,,,1288,,,EN,2025-01-08T23:00:00.000Z
69,Somalia,MDG_0000000020,Incidence of tuberculosis (per 100 000 population per year),text,EMR,Eastern Mediterranean,Country,SOM,Year,2019,False,,,,,,,,,,,,,258.0,,,167.0,,368.0,258 [167-368],,,EN,2024-10-27T23:00:00.000Z,TB_c_newinc,Tuberculosis - new and relapse cases,numeric,EMR,Eastern Mediterranean,Country,SOM,Year,2019,False,,,,,,,,,,,,,16918,,,,,,16 918,,,EN,2025-01-08T23:00:00.000Z
70,Armenia,MDG_0000000020,Incidence of tuberculosis (per 100 000 population per year),text,EUR,Europe,Country,ARM,Year,2019,False,,,,,,,,,,,,,26.0,,,20.0,,33.0,26 [20-33],,,EN,2024-10-27T23:00:00.000Z,TB_c_newinc,Tuberculosis - new and relapse cases,numeric,EUR,Europe,Country,ARM,Year,2019,False,,,,,,,,,,,,,621,,,,,,621,,,EN,2025-01-08T23:00:00.000Z
72,Pakistan,MDG_0000000020,Incidence of tuberculosis (per 100 000 population per year),text,EMR,Eastern Mediterranean,Country,PAK,Year,2019,False,,,,,,,,,,,,,263.0,,,187.0,,353.0,263 [187-353],,,EN,2024-10-27T23:00:00.000Z,TB_c_newinc,Tuberculosis - new and relapse cases,numeric,EMR,Eastern Mediterranean,Country,PAK,Year,2019,False,,,,,,,,,,,,,328312,,,,,,328 312,,,EN,2025-01-08T23:00:00.000Z
74,Bosnia and Herzegovina,MDG_0000000020,Incidence of tuberculosis (per 100 000 population per year),text,EUR,Europe,Country,BIH,Year,2019,False,,,,,,,,,,,,,27.0,,,21.0,,34.0,27 [21-34],,,EN,2024-10-27T23:00:00.000Z,TB_c_newinc,Tuberculosis - new and relapse cases,numeric,EUR,Europe,Country,BIH,Year,2019,False,,,,,,,,,,,,,580,,,,,,580,,,EN,2025-01-08T23:00:00.000Z
76,Iraq,MDG_0000000020,Incidence of tuberculosis (per 100 000 population per year),text,EMR,Eastern Mediterranean,Country,IRQ,Year,2019,False,,,,,,,,,,,,,28.0,,,25.0,,32.0,28 [25-32],,,EN,2024-10-27T23:00:00.000Z,TB_c_newinc,Tuberculosis - new and relapse cases,numeric,EMR,Eastern Mediterranean,Country,IRQ,Year,2019,False,,,,,,,,,,,,,6616,,,,,,6616,,,EN,2025-01-08T23:00:00.000Z
80,Belarus,MDG_0000000020,Incidence of tuberculosis (per 100 000 population per year),text,EUR,Europe,Country,BLR,Year,2019,False,,,,,,,,,,,,,29.0,,,22.0,,37.0,29 [22-37],,,EN,2024-10-27T23:00:00.000Z,TB_c_newinc,Tuberculosis - new and relapse cases,numeric,EUR,Europe,Country,BLR,Year,2019,False,,,,,,,,,,,,,2207,,,,,,2207,,,EN,2025-01-08T23:00:00.000Z
86,Norway,MDG_0000000020,Incidence of tuberculosis (per 100 000 population per year),text,EUR,Europe,Country,NOR,Year,2019,False,,,,,,,,,,,,,3.3,,,2.8,,3.8,3.3 [2.8-3.8],,,EN,2024-10-27T23:00:00.000Z,TB_c_newinc,Tuberculosis - new and relapse cases,numeric,EUR,Europe,Country,NOR,Year,2019,False,,,,,,,,,,,,,153,,,,,,153,,,EN,2025-01-08T23:00:00.000Z
96,Tunisia,MDG_0000000020,Incidence of tuberculosis (per 100 000 population per year),text,EMR,Eastern Mediterranean,Country,TUN,Year,2019,False,,,,,,,,,,,,,35.0,,,27.0,,45.0,35 [27-45],,,EN,2024-10-27T23:00:00.000Z,TB_c_newinc,Tuberculosis - new and relapse cases,numeric,EMR,Eastern Mediterranean,Country,TUN,Year,2019,False,,,,,,,,,,,,,3297,,,,,,3297,,,EN,2025-01-08T23:00:00.000Z
