,Location,IndicatorCode,Indicator,ValueType,ParentLocationCode,ParentLocation,Location type,SpatialDimValueCode,Period type,Period,IsLatestYear,Dim1 type,Dim1,Dim1ValueCode,Dim2 type,Dim2,Dim2ValueCode,Dim3 type,Dim3,Dim3ValueCode,DataSourceDimValueCode,DataSource,FactValueNumericPrefix,FactValueNumeric,FactValueUoM,FactValueNumericLowPrefix,FactValueNumericLow,FactValueNumericHighPrefix,FactValueNumericHigh,Value,FactValueTranslationID,FactComments,Language,DateModified,IndicatorCoder,Indicatorr,ValueTyper,ParentLocationCoder,ParentLocationr,Location typer,SpatialDimValueCoder,Period typer,Periodr,IsLatestYearr,Dim1 typer,Dim1r,Dim1ValueCoder,Dim2 typer,Dim2r,Dim2ValueCoder,Dim3 typer,Dim3r,Dim3ValueCoder,DataSourceDimValueCoder,DataSourcer,FactValueNumericPrefixr,FactValueNumericr,FactValueUoMr,FactValueNumericLowPrefixr,FactValueNumericLowr,FactValueNumericHighPrefixr,FactValueNumericHighr,Valuer,FactValueTranslationIDr,FactCommentsr,Languager,DateModifiedr
4,"occupied Palestinian territory, including east Jerusalem",MDG_0000000020,Incidence of tuberculosis (per 100 000 population per year),text,EMR,Eastern Mediterranean,Country,PSE,Year,2019,False,,,,,,,,,,,,,0.53,,,0.41,,0.67,0.53 [0.41-0.67],,,EN,2024-10-27T23:00:00.000Z,TB_c_newinc,Tuberculosis - new and relapse cases,numeric,EMR,Eastern Mediterranean,Country,PSE,Year,2019,False,,,,,,,,,,,,,21,,,,,,21,,,EN,2025-01-08T23:00:00.000Z
5,United Arab Emirates,MDG_0000000020,Incidence of tuberculosis (per 100 000 population per year),text,EMR,Eastern Mediterranean,Country,ARE,Year,2019,False,,,,,,,,,,,,,0.98,,,0.84,,1.1,0.98 [0.84-1.1],,,EN,2024-10-27T23:00:00.000Z,TB_c_newinc,Tuberculosis - new and relapse cases,numeric,EMR,Eastern Mediterranean,Country,ARE,Year,2019,False,,,,,,,,,,,,,80,,,,,,80,,,EN,2025-01-08T23:00:00.000Z
12,Saudi Arabia,MDG_0000000020,Incidence of tuberculosis (per 100 000 population per year),text,EMR,Eastern Mediterranean,Country,SAU,Year,2019,False,,,,,,,,,,,,,11.0,,,9.6,,12.0,11 [9.6-12],,,EN,2024-10-27T23:00:00.000Z,TB_c_newinc,Tuberculosis - new and relapse cases,numeric,EMR,Eastern Mediterranean,Country,SAU,Year,2019,False,,,,,,,,,,,,,2936,,,,,,2936,,,EN,2025-01-08T23:00:00.000Z
17,Egypt,MDG_0000000020,Incidence of tuberculosis (per 100 000 population per year),text,EMR,Eastern Mediterranean,Country,EGY,Year,2019,False,,,,,,,,,,,,,12.0,,,10.0,,13.0,12 [10-13],,,EN,2024-10-27T23:00:00.000Z,TB_c_newinc,Tuberculosis - new and relapse cases,numeric,EMR,Eastern Mediterranean,Country,EGY,Year,2019,False,,,,,,,,,,,,,8046,,,,,,8046,,,EN,2025-01-08T23:00:00.000Z
22,Iran (Islamic Republic of),MDG_0000000020,Incidence of tuberculosis (per 100 000 population per year),text,EMR,Eastern Mediterranean,Country,IRN,Year,2019,False,,,,,,,,,,,,,13.0,,,9.8,,16.0,13 [9.8-16],,,EN,2024-10-27T23:00:00.000Z,TB_c_newinc,Tuberculosis - new and relapse cases,numeric,EMR,Eastern Mediterranean,Country,IRN,Year,2019,False,,,,,,,,,,,,,8524,,,,,,8524,,,EN,2025-01-08T23:00:00.000Z
24,Bahrain,MDG_0000000020,Incidence of tuberculosis (per 100 000 population per year),text,EMR,Eastern Mediterranean,Country,BHR,Year,2019,False,,,,,,,,,,,,,14.0,,,12.0,,16.0,14 [12-16],,,EN,2024-10-27T23:00:00.000Z,TB_c_newinc,Tuberculosis - new and relapse cases,numeric,EMR,Eastern Mediterranean,Country,BHR,Year,2019,False,,,,,,,,,,,,,178,,,,,,178,,,EN,2025-01-08T23:00:00.000Z
32,Lebanon,MDG_0000000020,Incidence of tuberculosis (per 100 000 population per year),text,EMR,Eastern Mediterranean,Country,LBN,Year,2019,False,,,,,,,,,,,,,15.0,,,13.0,,17.0,15 [13-17],,,EN,2024-10-27T23:00:00.000Z,TB_c_newinc,Tuberculosis - new and relapse cases,numeric,EMR,Eastern Mediterranean,Country,LBN,Year,2019,False,,,,,,,,,,,,,757,,,,,,757,,,EN,2025-01-08T23:00:00.000Z
35,Thailand,MDG_0000000020,Incidence of tuberculosis (per 100 000 population per year),text,SEAR,South-East Asia,Country,THA,Year,2019,False,,,,,,,,,,,,,150.0,,,114.0,,191.0,150 [114-191],,,EN,2024-10-27T23:00:00.000Z,TB_c_newinc,Tuberculosis - new and relapse cases,numeric,SEAR,South-East Asia,Country,THA,Year,2019,False,,,,,,,,,,,,,87789,,,,,,87 789,,,EN,2025-01-08T23:00:00.000Z
41,Bhutan,MDG_0000000020,Incidence of tuberculosis (per 100 000 population per year),text,SEAR,South-East Asia,Country,BTN,Year,2019,False,,,,,,,,,,,,,164.0,,,126.0,,208.0,164 [126-208],,,EN,2024-10-27T23:00:00.000Z,TB_c_newinc,Tuberculosis - new and relapse cases,numeric,SEAR,South-East Asia,Country,BTN,Year,2019,False,,,,,,,,,,,,,1005,,,,,,1005,,,EN,2025-01-08T23:00:00.000Z
49,Afghanistan,MDG_0000000020,Incidence of tuberculosis (per 100 000 population per year),text,EMR,Eastern Mediterranean,Country,AFG,Year,2019,False,,,,,,,,,,,,,189.0,,,122.0,,270.0,189 [122-270],,,EN,2024-10-27T23:00:00.000Z,TB_c_newinc,Tuberculosis - new and relapse cases,numeric,EMR,Eastern Mediterranean,Country,AFG,Year,2019,False,,,,,,,,,,,,,52438,,,,,,52 438,,,EN,2025-01-08T23:00:00.000Z
50,Syrian Arab Republic,MDG_0000000020,Incidence of tuberculosis (per 100 000 population per year),text,EMR,Eastern Mediterranean,Country,SYR,Year,2019,False,,,,,,,,,,,,,19.0,,,15.0,,24.0,19 [15-24],,,EN,2024-10-27T23:00:00.000Z,TB_c_newinc,Tuberculosis - new and relapse cases,numeric,EMR,Eastern Mediterranean,Country,SYR,Year,2019,False,,,,,,,,,,,,,2589,,,,,,2589,,,EN,2025-01-08T23:00:00.000Z
55,Kuwait,MDG_0000000020,Incidence of tuberculosis (per 100 000 population per year),text,EMR,Eastern Mediterranean,Country,KWT,Year,2019,False,,,,,,,,,,,,,20.0,,,18.0,,24.0,20 [18-24],,,EN,2024-10-27T23:00:00.000Z,TB_c_newinc,Tuberculosis - new and relapse cases,numeric,EMR,Eastern Mediterranean,Country,KWT,Year,2019,False,,,,,,,,,,,,,791,,,,,,791,,,EN,2025-01-08T23:00:00.000Z
57,India,MDG_0000000020,Incidence of tuberculosis (per 100 000 population per year),text,SEAR,South-East Asia,Country,IND,Year,2019,False,,,,,,,,,,,,,202.0,,,179.0,,226.0,202 [179-226],,,EN,2024-10-27T23:00:00.000Z,TB_c_newinc,Tuberculosis - new and relapse cases,numeric,SEAR,South-East Asia,Country,IND,Year,2019,False,,,,,,,,,,,,,2162323,,,,,,2 162 323,,,EN,2025-01-08T23:00:00.000Z
58,Djibouti,MDG_0000000020,Incidence of tuberculosis (per 100 000 population per year),text,EMR,Eastern Mediterranean,Country,DJI,Year,2019,False,,,,,,,,,,,,,210.0,,,160.0,,265.0,210 [160-265],,,EN,2024-10-27T23:00:00.000Z,TB_c_newinc,Tuberculosis - new and relapse cases,numeric,EMR,Eastern Mediterranean,Country,DJI,Year,2019,False,,,,,,,,,,,,,1825,,,,,,1825,,,EN,2025-01-08T23:00:00.000Z
61,Bangladesh,MDG_0000000020,Incidence of tuberculosis (per 100 000 population per year),text,SEAR,South-East Asia,Country,BGD,Year,2019,False,,,,,,,,,,,,,221.0,,,161.0,,291.0,221 [161-291],,,EN,2024-10-27T23:00:00.000Z,TB_c_newinc,Tuberculosis - new and relapse cases,numeric,SEAR,South-East Asia,Country,BGD,Year,2019,False,,,,,,,,,,,,,291595,,,,,,291 595,,,EN,2025-01-08T23:00:00.000Z
67,Nepal,MDG_0000000020,Incidence of tuberculosis (per 100 000 population per year),text,SEAR,South-East Asia,Country,NPL,Year,2019,False,,,,,,,,,,,,,238.0,,,141.0,,359.0,238 [141-359],,,EN,2024-10-27T23:00:00.000Z,TB_c_newinc,Tuberculosis - new and relapse cases,numeric,SEAR,South-East Asia,Country,NPL,Year,2019,False,,,,,,,,,,,,,31495,,,,,,31 495,,,EN,2025-01-08T23:00:00.000Z
69,Somalia,MDG_0000000020,Incidence of tuberculosis (per 100 000 population per year),text,EMR,Eastern Mediterranean,Country,SOM,Year,2019,False,,,,,,,,,,,,,258.0,,,167.0,,368.0,258 [167-368],,,EN,2024-10-27T23:00:00.000Z,TB_c_newinc,Tuberculosis - new and relapse cases,numeric,EMR,Eastern Mediterranean,Country,SOM,Year,2019,False,,,,,,,,,,,,,16918,,,,,,16 918,,,EN,2025-01-08T23:00:00.000Z
72,Pakistan,MDG_0000000020,Incidence of tuberculosis (per 100 000 population per year),text,EMR,Eastern Mediterranean,Country,PAK,Year,2019,False,,,,,,,,,,,,,263.0,,,187.0,,353.0,263 [187-353],,,EN,2024-10-27T23:00:00.000Z,TB_c_newinc,Tuberculosis - new and relapse cases,numeric,EMR,Eastern Mediterranean,Country,PAK,Year,2019,False,,,,,,,,,,,,,328312,,,,,,328 312,,,EN,2025-01-08T23:00:00.000Z
76,Iraq,MDG_0000000020,Incidence of tuberculosis (per 100 000 population per year),text,EMR,Eastern Mediterranean,Country,IRQ,Year,2019,False,,,,,,,,,,,,,28.0,,,25.0,,32.0,28 [25-32],,,EN,2024-10-27T23:00:00.000Z,TB_c_newinc,Tuberculosis - new and relapse cases,numeric,EMR,Eastern Mediterranean,Country,IRQ,Year,2019,False,,,,,,,,,,,,,6616,,,,,,6616,,,EN,2025-01-08T23:00:00.000Z
