,Location,IndicatorCode,Indicator,ValueType,ParentLocationCode,ParentLocation,Location type,SpatialDimValueCode,Period type,Period,IsLatestYear,Dim1 type,Dim1,Dim1ValueCode,Dim2 type,Dim2,Dim2ValueCode,Dim3 type,Dim3,Dim3ValueCode,DataSourceDimValueCode,DataSource,FactValueNumericPrefix,FactValueNumeric,FactValueUoM,FactValueNumericLowPrefix,FactValueNumericLow,FactValueNumericHighPrefix,FactValueNumericHigh,Value,FactValueTranslationID,FactComments,Language,DateModified,IndicatorCoder,Indicatorr,ValueTyper,ParentLocationCoder,ParentLocationr,Location typer,SpatialDimValueCoder,Period typer,Periodr,IsLatestYearr,Dim1 typer,Dim1r,Dim1ValueCoder,Dim2 typer,Dim2r,Dim2ValueCoder,Dim3 typer,Dim3r,Dim3ValueCoder,DataSourceDimValueCoder,DataSourcer,FactValueNumericPrefixr,FactValueNumericr,FactValueUoMr,FactValueNumericLowPrefixr,FactValueNumericLowr,FactValueNumericHighPrefixr,FactValueNumericHighr,Valuer,FactValueTranslationIDr,FactCommentsr,Languager,DateModifiedr
2,Monaco,MDG_0000000020,Incidence of tuberculosis (per 100 000 population per year),text,EUR,Europe,Country,MCO,Year,2019,False,,,,,,,,,,,,,0.0,,,0.0,,0.0,0 [0-0],,,EN,2024-10-27T23:00:00.000Z,TB_c_newinc,Tuberculosis - new and relapse cases,numeric,EUR,Europe,Country,MCO,Year,2019,False,,,,,,,,,,,,,0,,,,,,0,,,EN,2025-01-08T23:00:00.000Z
3,Niue,MDG_0000000020,Incidence of tuberculosis (per 100 000 population per year),text,WPR,Western Pacific,Country,NIU,Year,2019,False,,,,,,,,,,,,,0.0,,,0.0,,0.0,0 [0-0],,,EN,2024-10-27T23:00:00.000Z,TB_c_newinc,Tuberculosis - new and relapse cases,numeric,WPR,Western Pacific,Country,NIU,Year,2019,False,,,,,,,,,,,,,0,,,,,,0,,,EN,2025-01-08T23:00:00.000Z
8,Micronesia (Federated States of),MDG_0000000020,Incidence of tuberculosis (per 100 000 population per year),text,WPR,Western Pacific,Country,FSM,Year,2019,False,,,,,,,,,,,,,103.0,,,79.0,,130.0,103 [79-130],,,EN,2024-10-27T23:00:00.000Z,TB_c_newinc,Tuberculosis - new and relapse cases,numeric,WPR,Western Pacific,Country,FSM,Year,2019,False,,,,,,,,,,,,,91,,,,,,91,,,EN,2025-01-08T23:00:00.000Z
11,Tonga,MDG_0000000020,Incidence of tuberculosis (per 100 000 population per year),text,WPR,Western Pacific,Country,TON,Year,2019,False,,,,,,,,,,,,,11.0,,,9.3,,13.0,11 [9.3-13],,,EN,2024-10-27T23:00:00.000Z,TB_c_newinc,Tuberculosis - new and relapse cases,numeric,WPR,Western Pacific,Country,TON,Year,2019,False,,,,,,,,,,,,,10,,,,,,10,,,EN,2025-01-08T23:00:00.000Z
13,Kyrgyzstan,MDG_0000000020,Incidence of tuberculosis (per 100 000 population per year),text,EUR,Europe,Country,KGZ,Year,2019,False,,,,,,,,,,,,,110.0,,,94.0,,127.0,110 [94-127],,,EN,2024-10-27T23:00:00.000Z,TB_c_newinc,Tuberculosis - new and relapse cases,numeric,EUR,Europe,Country,KGZ,Year,2019,False,,,,,,,,,,,,,6138,,,,,,6138,,,EN,2025-01-08T23:00:00.000Z
18,North Macedonia,MDG_0000000020,Incidence of tuberculosis (per 100 000 population per year),text,EUR,Europe,Country,MKD,Year,2019,False,,,,,,,,,,,,,12.0,,,9.1,,15.0,12 [9.1-15],,,EN,2024-10-27T23:00:00.000Z,TB_c_newinc,Tuberculosis - new and relapse cases,numeric,EUR,Europe,Country,MKD,Year,2019,False,,,,,,,,,,,,,199,,,,,,199,,,EN,2025-01-08T23:00:00.000Z
20,Estonia,MDG_0000000020,Incidence of tuberculosis (per 100 000 population per year),text,EUR,Europe,Country,EST,Year,2019,False,,,,,,,,,,,,,13.0,,,11.0,,15.0,13 [11-15],,,EN,2024-10-27T23:00:00.000Z,TB_c_newinc,Tuberculosis - new and relapse cases,numeric,EUR,Europe,Country,EST,Year,2019,False,,,,,,,,,,,,,147,,,,,,147,,,EN,2025-01-08T23:00:00.000Z
21,Japan,MDG_0000000020,Incidence of tuberculosis (per 100 000 population per year),text,WPR,Western Pacific,Country,JPN,Year,2019,False,,,,,,,,,,,,,13.0,,,11.0,,15.0,13 [11-15],,,EN,2024-10-27T23:00:00.000Z,TB_c_newinc,Tuberculosis - new and relapse cases,numeric,WPR,Western Pacific,Country,JPN,Year,2019,False,,,,,,,,,,,,,14460,,,,,,14 460,,,EN,2025-01-08T23:00:00.000Z
26,Serbia,MDG_0000000020,Incidence of tuberculosis (per 100 000 population per year),text,EUR,Europe,Country,SRB,Year,2019,False,,,,,,,,,,,,,14.0,,,12.0,,17.0,14 [12-17],,,EN,2024-10-27T23:00:00.000Z,TB_c_newinc,Tuberculosis - new and relapse cases,numeric,EUR,Europe,Country,SRB,Year,2019,False,,,,,,,,,,,,,1106,,,,,,1106,,,EN,2025-01-08T23:00:00.000Z
33,Montenegro,MDG_0000000020,Incidence of tuberculosis (per 100 000 population per year),text,EUR,Europe,Country,MNE,Year,2019,False,,,,,,,,,,,,,15.0,,,13.0,,17.0,15 [13-17],,,EN,2024-10-27T23:00:00.000Z,TB_c_newinc,Tuberculosis - new and relapse cases,numeric,EUR,Europe,Country,MNE,Year,2019,False,,,,,,,,,,,,,80,,,,,,80,,,EN,2025-01-08T23:00:00.000Z
34,Poland,MDG_0000000020,Incidence of tuberculosis (per 100 000 population per year),text,EUR,Europe,Country,POL,Year,2019,False,,,,,,,,,,,,,15.0,,,13.0,,17.0,15 [13-17],,,EN,2024-10-27T23:00:00.000Z,TB_c_newinc,Tuberculosis - new and relapse cases,numeric,EUR,Europe,Country,POL,Year,2019,False,,,,,,,,,,,,,4983,,,,,,4983,,,EN,2025-01-08T23:00:00.000Z
36,Lao People's Democratic Republic,MDG_0000000020,Incidence of tuberculosis (per 100 000 population per year),text,WPR,Western Pacific,Country,LAO,Year,2019,False,,,,,,,,,,,,,155.0,,,100.0,,222.0,155 [100-222],,,EN,2024-10-27T23:00:00.000Z,TB_c_newinc,Tuberculosis - new and relapse cases,numeric,WPR,Western Pacific,Country,LAO,Year,2019,False,,,,,,,,,,,,,6816,,,,,,6816,,,EN,2025-01-08T23:00:00.000Z
38,Türkiye,MDG_0000000020,Incidence of tuberculosis (per 100 000 population per year),text,EUR,Europe,Country,TUR,Year,2019,False,,,,,,,,,,,,,16.0,,,13.0,,18.0,16 [13-18],,,EN,2024-10-27T23:00:00.000Z,TB_c_newinc,Tuberculosis - new and relapse cases,numeric,EUR,Europe,Country,TUR,Year,2019,False,,,,,,,,,,,,,11247,,,,,,11 247,,,EN,2025-01-08T23:00:00.000Z
39,Albania,MDG_0000000020,Incidence of tuberculosis (per 100 000 population per year),text,EUR,Europe,Country,ALB,Year,2019,False,,,,,,,,,,,,,16.0,,,14.0,,19.0,16 [14-19],,,EN,2024-10-27T23:00:00.000Z,TB_c_newinc,Tuberculosis - new and relapse cases,numeric,EUR,Europe,Country,ALB,Year,2019,False,,,,,,,,,,,,,412,,,,,,412,,,EN,2025-01-08T23:00:00.000Z
42,Nauru,MDG_0000000020,Incidence of tuberculosis (per 100 000 population per year),text,WPR,Western Pacific,Country,NRU,Year,2019,False,,,,,,,,,,,,,169.0,,,144.0,,195.0,169 [144-195],,,EN,2024-10-27T23:00:00.000Z,TB_c_newinc,Tuberculosis - new and relapse cases,numeric,WPR,Western Pacific,Country,NRU,Year,2019,False,,,,,,,,,,,,,17,,,,,,17,,,EN,2025-01-08T23:00:00.000Z
46,Viet Nam,MDG_0000000020,Incidence of tuberculosis (per 100 000 population per year),text,WPR,Western Pacific,Country,VNM,Year,2019,False,,,,,,,,,,,,,176.0,,,112.0,,255.0,176 [112-255],,,EN,2024-10-27T23:00:00.000Z,TB_c_newinc,Tuberculosis - new and relapse cases,numeric,WPR,Western Pacific,Country,VNM,Year,2019,False,,,,,,,,,,,,,102503,,,,,,102 503,,,EN,2025-01-08T23:00:00.000Z
51,Portugal,MDG_0000000020,Incidence of tuberculosis (per 100 000 population per year),text,EUR,Europe,Country,PRT,Year,2019,False,,,,,,,,,,,,,19.0,,,16.0,,22.0,19 [16-22],,,EN,2024-10-27T23:00:00.000Z,TB_c_newinc,Tuberculosis - new and relapse cases,numeric,EUR,Europe,Country,PRT,Year,2019,False,,,,,,,,,,,,,1720,,,,,,1720,,,EN,2025-01-08T23:00:00.000Z
53,Israel,MDG_0000000020,Incidence of tuberculosis (per 100 000 population per year),text,EUR,Europe,Country,ISR,Year,2019,False,,,,,,,,,,,,,2.9,,,2.5,,3.3,2.9 [2.5-3.3],,,EN,2024-10-27T23:00:00.000Z,TB_c_newinc,Tuberculosis - new and relapse cases,numeric,EUR,Europe,Country,ISR,Year,2019,False,,,,,,,,,,,,,217,,,,,,217,,,EN,2025-01-08T23:00:00.000Z
60,Malta,MDG_0000000020,Incidence of tuberculosis (per 100 000 population per year),text,EUR,Europe,Country,MLT,Year,2019,False,,,,,,,,,,,,,22.0,,,19.0,,26.0,22 [19-26],,,EN,2024-10-27T23:00:00.000Z,TB_c_newinc,Tuberculosis - new and relapse cases,numeric,EUR,Europe,Country,MLT,Year,2019,False,,,,,,,,,,,,,98,,,,,,98,,,EN,2025-01-08T23:00:00.000Z
63,Bulgaria,MDG_0000000020,Incidence of tuberculosis (per 100 000 population per year),text,EUR,Europe,Country,BGR,Year,2019,False,,,,,,,,,,,,,23.0,,,18.0,,29.0,23 [18-29],,,EN,2024-10-27T23:00:00.000Z,TB_c_newinc,Tuberculosis - new and relapse cases,numeric,EUR,Europe,Country,BGR,Year,2019,False,,,,,,,,,,,,,1288,,,,,,1288,,,EN,2025-01-08T23:00:00.000Z
70,Armenia,MDG_0000000020,Incidence of tuberculosis (per 100 000 population per year),text,EUR,Europe,Country,ARM,Year,2019,False,,,,,,,,,,,,,26.0,,,20.0,,33.0,26 [20-33],,,EN,2024-10-27T23:00:00.000Z,TB_c_newinc,Tuberculosis - new and relapse cases,numeric,EUR,Europe,Country,ARM,Year,2019,False,,,,,,,,,,,,,621,,,,,,621,,,EN,2025-01-08T23:00:00.000Z
74,Bosnia and Herzegovina,MDG_0000000020,Incidence of tuberculosis (per 100 000 population per year),text,EUR,Europe,Country,BIH,Year,2019,False,,,,,,,,,,,,,27.0,,,21.0,,34.0,27 [21-34],,,EN,2024-10-27T23:00:00.000Z,TB_c_newinc,Tuberculosis - new and relapse cases,numeric,EUR,Europe,Country,BIH,Year,2019,False,,,,,,,,,,,,,580,,,,,,580,,,EN,2025-01-08T23:00:00.000Z
78,Cambodia,MDG_0000000020,Incidence of tuberculosis (per 100 000 population per year),text,WPR,Western Pacific,Country,KHM,Year,2019,False,,,,,,,,,,,,,287.0,,,186.0,,410.0,287 [186-410],,,EN,2024-10-27T23:00:00.000Z,TB_c_newinc,Tuberculosis - new and relapse cases,numeric,WPR,Western Pacific,Country,KHM,Year,2019,False,,,,,,,,,,,,,29906,,,,,,29 906,,,EN,2025-01-08T23:00:00.000Z
80,Belarus,MDG_0000000020,Incidence of tuberculosis (per 100 000 population per year),text,EUR,Europe,Country,BLR,Year,2019,False,,,,,,,,,,,,,29.0,,,22.0,,37.0,29 [22-37],,,EN,2024-10-27T23:00:00.000Z,TB_c_newinc,Tuberculosis - new and relapse cases,numeric,EUR,Europe,Country,BLR,Year,2019,False,,,,,,,,,,,,,2207,,,,,,2207,,,EN,2025-01-08T23:00:00.000Z
83,Tuvalu,MDG_0000000020,Incidence of tuberculosis (per 100 000 population per year),text,WPR,Western Pacific,Country,TUV,Year,2019,False,,,,,,,,,,,,,296.0,,,253.0,,342.0,296 [253-342],,,EN,2024-10-27T23:00:00.000Z,TB_c_newinc,Tuberculosis - new and relapse cases,numeric,WPR,Western Pacific,Country,TUV,Year,2019,False,,,,,,,,,,,,,30,,,,,,30,,,EN,2025-01-08T23:00:00.000Z
86,Norway,MDG_0000000020,Incidence of tuberculosis (per 100 000 population per year),text,EUR,Europe,Country,NOR,Year,2019,False,,,,,,,,,,,,,3.3,,,2.8,,3.8,3.3 [2.8-3.8],,,EN,2024-10-27T23:00:00.000Z,TB_c_newinc,Tuberculosis - new and relapse cases,numeric,EUR,Europe,Country,NOR,Year,2019,False,,,,,,,,,,,,,153,,,,,,153,,,EN,2025-01-08T23:00:00.000Z
107,Palau,MDG_0000000020,Incidence of tuberculosis (per 100 000 population per year),text,WPR,Western Pacific,Country,PLW,Year,2019,False,,,,,,,,,,,,,39.0,,,33.0,,45.0,39 [33-45],,,EN,2024-10-27T23:00:00.000Z,TB_c_newinc,Tuberculosis - new and relapse cases,numeric,WPR,Western Pacific,Country,PLW,Year,2019,False,,,,,,,,,,,,,6,,,,,,6,,,EN,2025-01-08T23:00:00.000Z
108,Iceland,MDG_0000000020,Incidence of tuberculosis (per 100 000 population per year),text,EUR,Europe,Country,ISL,Year,2019,False,,,,,,,,,,,,,4.1,,,3.5,,4.8,4.1 [3.5-4.8],,,EN,2024-10-27T23:00:00.000Z,TB_c_newinc,Tuberculosis - new and relapse cases,numeric,EUR,Europe,Country,ISL,Year,2019,False,,,,,,,,,,,,,13,,,,,,13,,,EN,2025-01-08T23:00:00.000Z
110,Slovakia,MDG_0000000020,Incidence of tuberculosis (per 100 000 population per year),text,EUR,Europe,Country,SVK,Year,2019,False,,,,,,,,,,,,,4.5,,,3.9,,5.2,4.5 [3.9-5.2],,,EN,2024-10-27T23:00:00.000Z,TB_c_newinc,Tuberculosis - new and relapse cases,numeric,EUR,Europe,Country,SVK,Year,2019,False,,,,,,,,,,,,,214,,,,,,214,,,EN,2025-01-08T23:00:00.000Z
111,Finland,MDG_0000000020,Incidence of tuberculosis (per 100 000 population per year),text,EUR,Europe,Country,FIN,Year,2019,False,,,,,,,,,,,,,4.7,,,4.0,,5.4,4.7 [4-5.4],,,EN,2024-10-27T23:00:00.000Z,TB_c_newinc,Tuberculosis - new and relapse cases,numeric,EUR,Europe,Country,FIN,Year,2019,False,,,,,,,,,,,,,224,,,,,,224,,,EN,2025-01-08T23:00:00.000Z
