,Location,IndicatorCode,Indicator,ValueType,ParentLocationCode,ParentLocation,Location type,SpatialDimValueCode,Period type,Period,IsLatestYear,Dim1 type,Dim1,Dim1ValueCode,Dim2 type,Dim2,Dim2ValueCode,Dim3 type,Dim3,Dim3ValueCode,DataSourceDimValueCode,DataSource,FactValueNumericPrefix,FactValueNumeric,FactValueUoM,FactValueNumericLowPrefix,FactValueNumericLow,FactValueNumericHighPrefix,FactValueNumericHigh,Value,FactValueTranslationID,FactComments,Language,DateModified,IndicatorCoder,Indicatorr,ValueTyper,ParentLocationCoder,ParentLocationr,Location typer,SpatialDimValueCoder,Period typer,Periodr,IsLatestYearr,Dim1 typer,Dim1r,Dim1ValueCoder,Dim2 typer,Dim2r,Dim2ValueCoder,Dim3 typer,Dim3r,Dim3ValueCoder,DataSourceDimValueCoder,DataSourcer,FactValueNumericPrefixr,FactValueNumericr,FactValueUoMr,FactValueNumericLowPrefixr,FactValueNumericLowr,FactValueNumericHighPrefixr,FactValueNumericHighr,Valuer,FactValueTranslationIDr,FactCommentsr,Languager,DateModifiedr
35,Thailand,MDG_0000000020,Incidence of tuberculosis (per 100 000 population per year),text,SEAR,South-East Asia,Country,THA,Year,2019,False,,,,,,,,,,,,,150.0,,,114.0,,191.0,150 [114-191],,,EN,2024-10-27T23:00:00.000Z,TB_c_newinc,Tuberculosis - new and relapse cases,numeric,SEAR,South-East Asia,Country,THA,Year,2019,False,,,,,,,,,,,,,87789,,,,,,87 789,,,EN,2025-01-08T23:00:00.000Z
41,Bhutan,MDG_0000000020,Incidence of tuberculosis (per 100 000 population per year),text,SEAR,South-East Asia,Country,BTN,Year,2019,False,,,,,,,,,,,,,164.0,,,126.0,,208.0,164 [126-208],,,EN,2024-10-27T23:00:00.000Z,TB_c_newinc,Tuberculosis - new and relapse cases,numeric,SEAR,South-East Asia,Country,BTN,Year,2019,False,,,,,,,,,,,,,1005,,,,,,1005,,,EN,2025-01-08T23:00:00.000Z
57,India,MDG_0000000020,Incidence of tuberculosis (per 100 000 population per year),text,SEAR,South-East Asia,Country,IND,Year,2019,False,,,,,,,,,,,,,202.0,,,179.0,,226.0,202 [179-226],,,EN,2024-10-27T23:00:00.000Z,TB_c_newinc,Tuberculosis - new and relapse cases,numeric,SEAR,South-East Asia,Country,IND,Year,2019,False,,,,,,,,,,,,,2162323,,,,,,2 162 323,,,EN,2025-01-08T23:00:00.000Z
61,Bangladesh,MDG_0000000020,Incidence of tuberculosis (per 100 000 population per year),text,SEAR,South-East Asia,Country,BGD,Year,2019,False,,,,,,,,,,,,,221.0,,,161.0,,291.0,221 [161-291],,,EN,2024-10-27T23:00:00.000Z,TB_c_newinc,Tuberculosis - new and relapse cases,numeric,SEAR,South-East Asia,Country,BGD,Year,2019,False,,,,,,,,,,,,,291595,,,,,,291 595,,,EN,2025-01-08T23:00:00.000Z
67,Nepal,MDG_0000000020,Incidence of tuberculosis (per 100 000 population per year),text,SEAR,South-East Asia,Country,NPL,Year,2019,False,,,,,,,,,,,,,238.0,,,141.0,,359.0,238 [141-359],,,EN,2024-10-27T23:00:00.000Z,TB_c_newinc,Tuberculosis - new and relapse cases,numeric,SEAR,South-East Asia,Country,NPL,Year,2019,False,,,,,,,,,,,,,31495,,,,,,31 495,,,EN,2025-01-08T23:00:00.000Z
90,Indonesia,MDG_0000000020,Incidence of tuberculosis (per 100 000 population per year),text,SEAR,South-East Asia,Country,IDN,Year,2019,False,,,,,,,,,,,,,312.0,,,285.0,,341.0,312 [285-341],,,EN,2024-10-27T23:00:00.000Z,TB_c_newinc,Tuberculosis - new and relapse cases,numeric,SEAR,South-East Asia,Country,IDN,Year,2019,False,,,,,,,,,,,,,559847,,,,,,559 847,,,EN,2025-01-08T23:00:00.000Z
92,Myanmar,MDG_0000000020,Incidence of tuberculosis (per 100 000 population per year),text,SEAR,South-East Asia,Country,MMR,Year,2019,False,,,,,,,,,,,,,322.0,,,212.0,,454.0,322 [212-454],,,EN,2024-10-27T23:00:00.000Z,TB_c_newinc,Tuberculosis - new and relapse cases,numeric,SEAR,South-East Asia,Country,MMR,Year,2019,False,,,,,,,,,,,,,134501,,,,,,134 501,,,EN,2025-01-08T23:00:00.000Z
99,Maldives,MDG_0000000020,Incidence of tuberculosis (per 100 000 population per year),text,SEAR,South-East Asia,Country,MDV,Year,2019,False,,,,,,,,,,,,,36.0,,,28.0,,46.0,36 [28-46],,,EN,2024-10-27T23:00:00.000Z,TB_c_newinc,Tuberculosis - new and relapse cases,numeric,SEAR,South-East Asia,Country,MDV,Year,2019,False,,,,,,,,,,,,,154,,,,,,154,,,EN,2025-01-08T23:00:00.000Z
132,Timor-Leste,MDG_0000000020,Incidence of tuberculosis (per 100 000 population per year),text,SEAR,South-East Asia,Country,TLS,Year,2019,False,,,,,,,,,,,,,498.0,,,322.0,,711.0,498 [322-711],,,EN,2024-10-27T23:00:00.000Z,TB_c_newinc,Tuberculosis - new and relapse cases,numeric,SEAR,South-East Asia,Country,TLS,Year,2019,False,,,,,,,,,,,,,4050,,,,,,4050,,,EN,2025-01-08T23:00:00.000Z
143,Democratic People's Republic of Korea,MDG_0000000020,Incidence of tuberculosis (per 100 000 population per year),text,SEAR,South-East Asia,Country,PRK,Year,2019,False,,,,,,,,,,,,,513.0,,,446.0,,584.0,513 [446-584],,,EN,2024-10-27T23:00:00.000Z,TB_c_newinc,Tuberculosis - new and relapse cases,numeric,SEAR,South-East Asia,Country,PRK,Year,2019,False,,,,,,,,,,,,,95722,,,,,,95 722,,,EN,2025-01-08T23:00:00.000Z
