,Location,IndicatorCode,Indicator,ValueType,ParentLocationCode,ParentLocation,Location type,SpatialDimValueCode,Period type,Period,IsLatestYear,Dim1 type,Dim1,Dim1ValueCode,Dim2 type,Dim2,Dim2ValueCode,Dim3 type,Dim3,Dim3ValueCode,DataSourceDimValueCode,DataSource,FactValueNumericPrefix,FactValueNumeric,FactValueUoM,FactValueNumericLowPrefix,FactValueNumericLow,FactValueNumericHighPrefix,FactValueNumericHigh,Value,FactValueTranslationID,FactComments,Language,DateModified,Periodr,FactValueNumericr,Comments,ParentLocationr
3,Togo,MDG_0000000007,Under-five mortality rate (probability of dying by age 5 per 1000 live births),text,AFR,Africa,Country,TGO,Year,2004,False,Sex,Both sexes,SEX_BTSX,Age Group,< 5 years,AGEGROUP_YEARSUNDER5,Wealth Quintile,Total,WEALTHQUINTILE_TOTL,,,,105.9,,,98.15,,114.5,105.9 [98.2-114.5],,,EN,2025-04-14T22:00:00.000Z,2004,3772.7,,Africa
4,Latvia,MDG_0000000007,Under-five mortality rate (probability of dying by age 5 per 1000 live births),text,EUR,Europe,Country,LVA,Year,2004,False,Sex,Both sexes,SEX_BTSX,Age Group,< 5 years,AGEGROUP_YEARSUNDER5,Wealth Quintile,Total,WEALTHQUINTILE_TOTL,,,,11.19,,,10.62,,11.78,11.2 [10.6-11.8],,,EN,2025-04-14T22:00:00.000Z,2004,0.0,,Europe
6,Zambia,MDG_0000000007,Under-five mortality rate (probability of dying by age 5 per 1000 live births),text,AFR,Africa,Country,ZMB,Year,2004,False,Sex,Both sexes,SEX_BTSX,Age Group,< 5 years,AGEGROUP_YEARSUNDER5,Wealth Quintile,Total,WEALTHQUINTILE_TOTL,,,,113.7,,,105.8,,121.9,113.7 [105.8-121.9],,,EN,2025-04-14T22:00:00.000Z,2004,10540.9,,Africa
8,Lesotho,MDG_0000000007,Under-five mortality rate (probability of dying by age 5 per 1000 live births),text,AFR,Africa,Country,LSO,Year,2004,False,Sex,Both sexes,SEX_BTSX,Age Group,< 5 years,AGEGROUP_YEARSUNDER5,Wealth Quintile,Total,WEALTHQUINTILE_TOTL,,,,114.7,,,105.4,,124.7,114.7 [105.4-124.7],,,EN,2025-04-14T22:00:00.000Z,2004,120.85,,Africa
9,Uganda,MDG_0000000007,Under-five mortality rate (probability of dying by age 5 per 1000 live births),text,AFR,Africa,Country,UGA,Year,2004,False,Sex,Both sexes,SEX_BTSX,Age Group,< 5 years,AGEGROUP_YEARSUNDER5,Wealth Quintile,Total,WEALTHQUINTILE_TOTL,,,,114.9,,,107.8,,122.6,114.9 [107.8-122.6],,,EN,2025-04-14T22:00:00.000Z,2004,23308.74,,Africa
10,Ethiopia,MDG_0000000007,Under-five mortality rate (probability of dying by age 5 per 1000 live births),text,AFR,Africa,Country,ETH,Year,2004,False,Sex,Both sexes,SEX_BTSX,Age Group,< 5 years,AGEGROUP_YEARSUNDER5,Wealth Quintile,Total,WEALTHQUINTILE_TOTL,,,,115.0,,,107.6,,122.9,115.0 [107.6-122.9],,,EN,2025-04-14T22:00:00.000Z,2004,87322.62,,Africa
11,Eswatini,MDG_0000000007,Under-five mortality rate (probability of dying by age 5 per 1000 live births),text,AFR,Africa,Country,SWZ,Year,2004,False,Sex,Both sexes,SEX_BTSX,Age Group,< 5 years,AGEGROUP_YEARSUNDER5,Wealth Quintile,Total,WEALTHQUINTILE_TOTL,,,,116.2,,,104.9,,129.3,116.2 [104.9-129.3],,,EN,2025-04-14T22:00:00.000Z,2004,398.34,,Africa
12,Rwanda,MDG_0000000007,Under-five mortality rate (probability of dying by age 5 per 1000 live births),text,AFR,Africa,Country,RWA,Year,2004,False,Sex,Both sexes,SEX_BTSX,Age Group,< 5 years,AGEGROUP_YEARSUNDER5,Wealth Quintile,Total,WEALTHQUINTILE_TOTL,,,,118.1,,,109.7,,126.9,118.1 [109.7-126.9],,,EN,2025-04-14T22:00:00.000Z,2004,14353.66,,Africa
13,Malawi,MDG_0000000007,Under-five mortality rate (probability of dying by age 5 per 1000 live births),text,AFR,Africa,Country,MWI,Year,2004,False,Sex,Both sexes,SEX_BTSX,Age Group,< 5 years,AGEGROUP_YEARSUNDER5,Wealth Quintile,Total,WEALTHQUINTILE_TOTL,,,,119.3,,,111.4,,127.5,119.3 [111.4-127.5],,,EN,2025-04-14T22:00:00.000Z,2004,14963.99,,Africa
14,Benin,MDG_0000000007,Under-five mortality rate (probability of dying by age 5 per 1000 live births),text,AFR,Africa,Country,BEN,Year,2004,False,Sex,Both sexes,SEX_BTSX,Age Group,< 5 years,AGEGROUP_YEARSUNDER5,Wealth Quintile,Total,WEALTHQUINTILE_TOTL,,,,123.5,,,115.2,,132.1,123.5 [115.2-132.1],,,EN,2025-04-14T22:00:00.000Z,2004,6716.05,,Africa
16,Burundi,MDG_0000000007,Under-five mortality rate (probability of dying by age 5 per 1000 live births),text,AFR,Africa,Country,BDI,Year,2004,False,Sex,Both sexes,SEX_BTSX,Age Group,< 5 years,AGEGROUP_YEARSUNDER5,Wealth Quintile,Total,WEALTHQUINTILE_TOTL,,,,131.0,,,117.2,,147.0,131.0 [117.2-147.0],,,EN,2025-04-14T22:00:00.000Z,2004,11652.52,,Africa
17,Cameroon,MDG_0000000007,Under-five mortality rate (probability of dying by age 5 per 1000 live births),text,AFR,Africa,Country,CMR,Year,2004,False,Sex,Both sexes,SEX_BTSX,Age Group,< 5 years,AGEGROUP_YEARSUNDER5,Wealth Quintile,Total,WEALTHQUINTILE_TOTL,,,,131.3,,,121.0,,142.2,131.3 [121.0-142.2],,,EN,2025-04-14T22:00:00.000Z,2004,13693.47,,Africa
18,Mozambique,MDG_0000000007,Under-five mortality rate (probability of dying by age 5 per 1000 live births),text,AFR,Africa,Country,MOZ,Year,2004,False,Sex,Both sexes,SEX_BTSX,Age Group,< 5 years,AGEGROUP_YEARSUNDER5,Wealth Quintile,Total,WEALTHQUINTILE_TOTL,,,,131.6,,,121.9,,141.8,131.6 [121.9-141.8],,,EN,2025-04-14T22:00:00.000Z,2004,13983.68,,Africa
19,Equatorial Guinea,MDG_0000000007,Under-five mortality rate (probability of dying by age 5 per 1000 live births),text,AFR,Africa,Country,GNQ,Year,2004,False,Sex,Both sexes,SEX_BTSX,Age Group,< 5 years,AGEGROUP_YEARSUNDER5,Wealth Quintile,Total,WEALTHQUINTILE_TOTL,,,,137.8,,,120.6,,160.3,137.8 [120.6-160.3],,,EN,2025-04-14T22:00:00.000Z,2004,479.78,,Africa
20,Bulgaria,MDG_0000000007,Under-five mortality rate (probability of dying by age 5 per 1000 live births),text,EUR,Europe,Country,BGR,Year,2004,False,Sex,Both sexes,SEX_BTSX,Age Group,< 5 years,AGEGROUP_YEARSUNDER5,Wealth Quintile,Total,WEALTHQUINTILE_TOTL,,,,14.2,,,13.82,,14.6,14.2 [13.8-14.6],,,EN,2025-04-14T22:00:00.000Z,2004,7.81,,Europe
23,Democratic Republic of the Congo,MDG_0000000007,Under-five mortality rate (probability of dying by age 5 per 1000 live births),text,AFR,Africa,Country,COD,Year,2004,False,Sex,Both sexes,SEX_BTSX,Age Group,< 5 years,AGEGROUP_YEARSUNDER5,Wealth Quintile,Total,WEALTHQUINTILE_TOTL,,,,140.7,,,126.3,,156.8,140.7 [126.3-156.8],,,EN,2025-04-14T22:00:00.000Z,2004,86842.59,,Africa
24,Guinea,MDG_0000000007,Under-five mortality rate (probability of dying by age 5 per 1000 live births),text,AFR,Africa,Country,GIN,Year,2004,False,Sex,Both sexes,SEX_BTSX,Age Group,< 5 years,AGEGROUP_YEARSUNDER5,Wealth Quintile,Total,WEALTHQUINTILE_TOTL,,,,141.2,,,130.9,,152.1,141.2 [130.9-152.1],,,EN,2025-04-14T22:00:00.000Z,2004,7326.88,,Africa
25,Liberia,MDG_0000000007,Under-five mortality rate (probability of dying by age 5 per 1000 live births),text,AFR,Africa,Country,LBR,Year,2004,False,Sex,Both sexes,SEX_BTSX,Age Group,< 5 years,AGEGROUP_YEARSUNDER5,Wealth Quintile,Total,WEALTHQUINTILE_TOTL,,,,143.1,,,132.4,,154.3,143.1 [132.4-154.3],,,EN,2025-04-14T22:00:00.000Z,2004,4831.1,,Africa
26,Russian Federation,MDG_0000000007,Under-five mortality rate (probability of dying by age 5 per 1000 live births),text,EUR,Europe,Country,RUS,Year,2004,False,Sex,Both sexes,SEX_BTSX,Age Group,< 5 years,AGEGROUP_YEARSUNDER5,Wealth Quintile,Total,WEALTHQUINTILE_TOTL,,,,14.96,,,14.67,,15.25,15.0 [14.7-15.3],,,EN,2025-04-14T22:00:00.000Z,2004,319.65,,Europe
27,Ukraine,MDG_0000000007,Under-five mortality rate (probability of dying by age 5 per 1000 live births),text,EUR,Europe,Country,UKR,Year,2004,False,Sex,Both sexes,SEX_BTSX,Age Group,< 5 years,AGEGROUP_YEARSUNDER5,Wealth Quintile,Total,WEALTHQUINTILE_TOTL,,,,15.1,,,14.28,,15.84,15.1 [14.3-15.8],,"The State Statistics Service of Ukraine (SSSU) have suspended the compilation of impartial statistical information on births and deaths starting from 2022 and on the number of population starting from data as of January 1, 2023, onwards. Consequently, no data is available for 2022.",EN,2025-04-14T22:00:00.000Z,2004,51.38,,Europe
