,Location,IndicatorCode,Indicator,ValueType,ParentLocationCode,ParentLocation,Location type,SpatialDimValueCode,Period type,Period,IsLatestYear,Dim1 type,Dim1,Dim1ValueCode,Dim2 type,Dim2,Dim2ValueCode,Dim3 type,Dim3,Dim3ValueCode,DataSourceDimValueCode,DataSource,FactValueNumericPrefix,FactValueNumeric,FactValueUoM,FactValueNumericLowPrefix,FactValueNumericLow,FactValueNumericHighPrefix,FactValueNumericHigh,Value,FactValueTranslationID,FactComments,Language,DateModified,Periodr,FactValueNumericr,Comments,ParentLocationr
0,United Arab Emirates,MDG_0000000007,Under-five mortality rate (probability of dying by age 5 per 1000 live births),text,EMR,Eastern Mediterranean,Country,ARE,Year,2004,False,Sex,Both sexes,SEX_BTSX,Age Group,< 5 years,AGEGROUP_YEARSUNDER5,Wealth Quintile,Total,WEALTHQUINTILE_TOTL,,,,9.95,,,9.4,,10.52,10.0 [9.4-10.5],,,EN,2025-04-14T22:00:00.000Z,2004,28.9,,Eastern Mediterranean
1,Qatar,MDG_0000000007,Under-five mortality rate (probability of dying by age 5 per 1000 live births),text,EMR,Eastern Mediterranean,Country,QAT,Year,2004,False,Sex,Both sexes,SEX_BTSX,Age Group,< 5 years,AGEGROUP_YEARSUNDER5,Wealth Quintile,Total,WEALTHQUINTILE_TOTL,,,,10.78,,,10.25,,11.33,10.8 [10.3-11.3],,"The most recent official national estimates of neonatal, infant and under-five mortality rates in Qatar are from the vital registration system, with a rate of 3.6, 5.0 and 6.4 deaths per 1,000 live births for both sexes, respectively, in 2021.",EN,2025-04-14T22:00:00.000Z,2004,3.24,,Eastern Mediterranean
2,Sudan,MDG_0000000007,Under-five mortality rate (probability of dying by age 5 per 1000 live births),text,EMR,Eastern Mediterranean,Country,SDN,Year,2004,False,Sex,Both sexes,SEX_BTSX,Age Group,< 5 years,AGEGROUP_YEARSUNDER5,Wealth Quintile,Total,WEALTHQUINTILE_TOTL,,,,102.6,,,93.09,,112.4,102.6 [93.1-112.4],,,EN,2025-04-14T22:00:00.000Z,2004,14498.72,,Eastern Mediterranean
5,Costa Rica,MDG_0000000007,Under-five mortality rate (probability of dying by age 5 per 1000 live births),text,AMR,Americas,Country,CRI,Year,2004,False,Sex,Both sexes,SEX_BTSX,Age Group,< 5 years,AGEGROUP_YEARSUNDER5,Wealth Quintile,Total,WEALTHQUINTILE_TOTL,,,,11.54,,,11.26,,11.83,11.5 [11.3-11.8],,,EN,2025-04-14T22:00:00.000Z,2004,15.81,,Americas
7,Afghanistan,MDG_0000000007,Under-five mortality rate (probability of dying by age 5 per 1000 live births),text,EMR,Eastern Mediterranean,Country,AFG,Year,2004,False,Sex,Both sexes,SEX_BTSX,Age Group,< 5 years,AGEGROUP_YEARSUNDER5,Wealth Quintile,Total,WEALTHQUINTILE_TOTL,,,,114.2,,,106.1,,123.2,114.2 [106.1-123.2],,,EN,2025-04-14T22:00:00.000Z,2004,62199.95,,Eastern Mediterranean
15,Antigua and Barbuda,MDG_0000000007,Under-five mortality rate (probability of dying by age 5 per 1000 live births),text,AMR,Americas,Country,ATG,Year,2004,False,Sex,Both sexes,SEX_BTSX,Age Group,< 5 years,AGEGROUP_YEARSUNDER5,Wealth Quintile,Total,WEALTHQUINTILE_TOTL,,,,13.64,,,12.06,,15.42,13.6 [12.1-15.4],,,EN,2025-04-14T22:00:00.000Z,2004,0.0,,Americas
21,Grenada,MDG_0000000007,Under-five mortality rate (probability of dying by age 5 per 1000 live births),text,AMR,Americas,Country,GRD,Year,2004,False,Sex,Both sexes,SEX_BTSX,Age Group,< 5 years,AGEGROUP_YEARSUNDER5,Wealth Quintile,Total,WEALTHQUINTILE_TOTL,,,,14.85,,,13.53,,16.28,14.9 [13.5-16.3],,,EN,2025-04-14T22:00:00.000Z,2004,0.5,,Americas
22,Barbados,MDG_0000000007,Under-five mortality rate (probability of dying by age 5 per 1000 live births),text,AMR,Americas,Country,BRB,Year,2004,False,Sex,Both sexes,SEX_BTSX,Age Group,< 5 years,AGEGROUP_YEARSUNDER5,Wealth Quintile,Total,WEALTHQUINTILE_TOTL,,,,14.87,,,13.84,,16.02,14.9 [13.8-16.0],,,EN,2025-04-14T22:00:00.000Z,2004,0.0,,Americas
29,Uruguay,MDG_0000000007,Under-five mortality rate (probability of dying by age 5 per 1000 live births),text,AMR,Americas,Country,URY,Year,2004,False,Sex,Both sexes,SEX_BTSX,Age Group,< 5 years,AGEGROUP_YEARSUNDER5,Wealth Quintile,Total,WEALTHQUINTILE_TOTL,,,,15.16,,,14.78,,15.56,15.2 [14.8-15.6],,,EN,2025-04-14T22:00:00.000Z,2004,7.5,,Americas
36,Lebanon,MDG_0000000007,Under-five mortality rate (probability of dying by age 5 per 1000 live births),text,EMR,Eastern Mediterranean,Country,LBN,Year,2004,False,Sex,Both sexes,SEX_BTSX,Age Group,< 5 years,AGEGROUP_YEARSUNDER5,Wealth Quintile,Total,WEALTHQUINTILE_TOTL,,,,15.96,,,13.2,,19.34,16.0 [13.2-19.3],,,EN,2025-04-14T22:00:00.000Z,2004,138.89,,Eastern Mediterranean
37,Bahamas,MDG_0000000007,Under-five mortality rate (probability of dying by age 5 per 1000 live births),text,AMR,Americas,Country,BHS,Year,2004,False,Sex,Both sexes,SEX_BTSX,Age Group,< 5 years,AGEGROUP_YEARSUNDER5,Wealth Quintile,Total,WEALTHQUINTILE_TOTL,,,,16.86,,,15.89,,17.89,16.9 [15.9-17.9],,,EN,2025-04-14T22:00:00.000Z,2004,0.46,,Americas
39,Argentina,MDG_0000000007,Under-five mortality rate (probability of dying by age 5 per 1000 live births),text,AMR,Americas,Country,ARG,Year,2004,False,Sex,Both sexes,SEX_BTSX,Age Group,< 5 years,AGEGROUP_YEARSUNDER5,Wealth Quintile,Total,WEALTHQUINTILE_TOTL,,,,17.29,,,16.96,,17.62,17.3 [17.0-17.6],,,EN,2025-04-14T22:00:00.000Z,2004,103.88,,Americas
41,Somalia,MDG_0000000007,Under-five mortality rate (probability of dying by age 5 per 1000 live births),text,EMR,Eastern Mediterranean,Country,SOM,Year,2004,False,Sex,Both sexes,SEX_BTSX,Age Group,< 5 years,AGEGROUP_YEARSUNDER5,Wealth Quintile,Total,WEALTHQUINTILE_TOTL,,,,172.3,,,135.5,,223.1,172.3 [135.5-223.1],,,EN,2025-04-14T22:00:00.000Z,2004,13245.73,,Eastern Mediterranean
44,Saint Lucia,MDG_0000000007,Under-five mortality rate (probability of dying by age 5 per 1000 live births),text,AMR,Americas,Country,LCA,Year,2004,False,Sex,Both sexes,SEX_BTSX,Age Group,< 5 years,AGEGROUP_YEARSUNDER5,Wealth Quintile,Total,WEALTHQUINTILE_TOTL,,,,18.28,,,17.19,,19.44,18.3 [17.2-19.4],,,EN,2025-04-14T22:00:00.000Z,2004,0.24,,Americas
46,Venezuela (Bolivarian Republic of),MDG_0000000007,Under-five mortality rate (probability of dying by age 5 per 1000 live births),text,AMR,Americas,Country,VEN,Year,2004,False,Sex,Both sexes,SEX_BTSX,Age Group,< 5 years,AGEGROUP_YEARSUNDER5,Wealth Quintile,Total,WEALTHQUINTILE_TOTL,,,,19.15,,,18.8,,19.51,19.1 [18.8-19.5],,,EN,2025-04-14T22:00:00.000Z,2004,857.3,,Americas
47,Jamaica,MDG_0000000007,Under-five mortality rate (probability of dying by age 5 per 1000 live births),text,AMR,Americas,Country,JAM,Year,2004,False,Sex,Both sexes,SEX_BTSX,Age Group,< 5 years,AGEGROUP_YEARSUNDER5,Wealth Quintile,Total,WEALTHQUINTILE_TOTL,,,,19.24,,,16.51,,22.46,19.2 [16.5-22.5],,,EN,2025-04-14T22:00:00.000Z,2004,125.11,,Americas
