,Location,IndicatorCode,Indicator,ValueType,ParentLocationCode,ParentLocation,Location type,SpatialDimValueCode,Period type,Period,IsLatestYear,Dim1 type,Dim1,Dim1ValueCode,Dim2 type,Dim2,Dim2ValueCode,Dim3 type,Dim3,Dim3ValueCode,DataSourceDimValueCode,DataSource,FactValueNumericPrefix,FactValueNumeric,FactValueUoM,FactValueNumericLowPrefix,FactValueNumericLow,FactValueNumericHighPrefix,FactValueNumericHigh,Value,FactValueTranslationID,FactComments,Language,DateModified,Periodr,FactValueNumericr,Comments,ParentLocationr
0,United Arab Emirates,MDG_0000000007,Under-five mortality rate (probability of dying by age 5 per 1000 live births),text,EMR,Eastern Mediterranean,Country,ARE,Year,2004,False,Sex,Both sexes,SEX_BTSX,Age Group,< 5 years,AGEGROUP_YEARSUNDER5,Wealth Quintile,Total,WEALTHQUINTILE_TOTL,,,,9.95,,,9.4,,10.52,10.0 [9.4-10.5],,,EN,2025-04-14T22:00:00.000Z,2004,28.9,,Eastern Mediterranean
1,Qatar,MDG_0000000007,Under-five mortality rate (probability of dying by age 5 per 1000 live births),text,EMR,Eastern Mediterranean,Country,QAT,Year,2004,False,Sex,Both sexes,SEX_BTSX,Age Group,< 5 years,AGEGROUP_YEARSUNDER5,Wealth Quintile,Total,WEALTHQUINTILE_TOTL,,,,10.78,,,10.25,,11.33,10.8 [10.3-11.3],,"The most recent official national estimates of neonatal, infant and under-five mortality rates in Qatar are from the vital registration system, with a rate of 3.6, 5.0 and 6.4 deaths per 1,000 live births for both sexes, respectively, in 2021.",EN,2025-04-14T22:00:00.000Z,2004,3.24,,Eastern Mediterranean
2,Sudan,MDG_0000000007,Under-five mortality rate (probability of dying by age 5 per 1000 live births),text,EMR,Eastern Mediterranean,Country,SDN,Year,2004,False,Sex,Both sexes,SEX_BTSX,Age Group,< 5 years,AGEGROUP_YEARSUNDER5,Wealth Quintile,Total,WEALTHQUINTILE_TOTL,,,,102.6,,,93.09,,112.4,102.6 [93.1-112.4],,,EN,2025-04-14T22:00:00.000Z,2004,14498.72,,Eastern Mediterranean
7,Afghanistan,MDG_0000000007,Under-five mortality rate (probability of dying by age 5 per 1000 live births),text,EMR,Eastern Mediterranean,Country,AFG,Year,2004,False,Sex,Both sexes,SEX_BTSX,Age Group,< 5 years,AGEGROUP_YEARSUNDER5,Wealth Quintile,Total,WEALTHQUINTILE_TOTL,,,,114.2,,,106.1,,123.2,114.2 [106.1-123.2],,,EN,2025-04-14T22:00:00.000Z,2004,62199.95,,Eastern Mediterranean
36,Lebanon,MDG_0000000007,Under-five mortality rate (probability of dying by age 5 per 1000 live births),text,EMR,Eastern Mediterranean,Country,LBN,Year,2004,False,Sex,Both sexes,SEX_BTSX,Age Group,< 5 years,AGEGROUP_YEARSUNDER5,Wealth Quintile,Total,WEALTHQUINTILE_TOTL,,,,15.96,,,13.2,,19.34,16.0 [13.2-19.3],,,EN,2025-04-14T22:00:00.000Z,2004,138.89,,Eastern Mediterranean
41,Somalia,MDG_0000000007,Under-five mortality rate (probability of dying by age 5 per 1000 live births),text,EMR,Eastern Mediterranean,Country,SOM,Year,2004,False,Sex,Both sexes,SEX_BTSX,Age Group,< 5 years,AGEGROUP_YEARSUNDER5,Wealth Quintile,Total,WEALTHQUINTILE_TOTL,,,,172.3,,,135.5,,223.1,172.3 [135.5-223.1],,,EN,2025-04-14T22:00:00.000Z,2004,13245.73,,Eastern Mediterranean
43,Thailand,MDG_0000000007,Under-five mortality rate (probability of dying by age 5 per 1000 live births),text,SEAR,South-East Asia,Country,THA,Year,2004,False,Sex,Both sexes,SEX_BTSX,Age Group,< 5 years,AGEGROUP_YEARSUNDER5,Wealth Quintile,Total,WEALTHQUINTILE_TOTL,,,,18.09,,,15.61,,20.1,18.1 [15.6-20.1],,,EN,2025-04-14T22:00:00.000Z,2004,2839.03,,South-East Asia
50,Syrian Arab Republic,MDG_0000000007,Under-five mortality rate (probability of dying by age 5 per 1000 live births),text,EMR,Eastern Mediterranean,Country,SYR,Year,2004,False,Sex,Both sexes,SEX_BTSX,Age Group,< 5 years,AGEGROUP_YEARSUNDER5,Wealth Quintile,Total,WEALTHQUINTILE_TOTL,,,,20.3,,,18.2,,22.82,20.3 [18.2-22.8],,,EN,2025-04-14T22:00:00.000Z,2004,1356.8,,Eastern Mediterranean
58,Tunisia,MDG_0000000007,Under-five mortality rate (probability of dying by age 5 per 1000 live births),text,EMR,Eastern Mediterranean,Country,TUN,Year,2004,False,Sex,Both sexes,SEX_BTSX,Age Group,< 5 years,AGEGROUP_YEARSUNDER5,Wealth Quintile,Total,WEALTHQUINTILE_TOTL,,,,22.69,,,20.7,,24.84,22.7 [20.7-24.8],,,EN,2025-04-14T22:00:00.000Z,2004,494.54,,Eastern Mediterranean
59,Jordan,MDG_0000000007,Under-five mortality rate (probability of dying by age 5 per 1000 live births),text,EMR,Eastern Mediterranean,Country,JOR,Year,2004,False,Sex,Both sexes,SEX_BTSX,Age Group,< 5 years,AGEGROUP_YEARSUNDER5,Wealth Quintile,Total,WEALTHQUINTILE_TOTL,,,,22.73,,,20.91,,24.7,22.7 [20.9-24.7],,,EN,2025-04-14T22:00:00.000Z,2004,416.0,,Eastern Mediterranean
71,Maldives,MDG_0000000007,Under-five mortality rate (probability of dying by age 5 per 1000 live births),text,SEAR,South-East Asia,Country,MDV,Year,2004,False,Sex,Both sexes,SEX_BTSX,Age Group,< 5 years,AGEGROUP_YEARSUNDER5,Wealth Quintile,Total,WEALTHQUINTILE_TOTL,,,,27.02,,,24.75,,29.46,27.0 [24.8-29.5],,,EN,2025-04-14T22:00:00.000Z,2004,44.95,,South-East Asia
76,Sri Lanka,MDG_0000000007,Under-five mortality rate (probability of dying by age 5 per 1000 live births),text,SEAR,South-East Asia,Country,LKA,Year,2004,False,Sex,Both sexes,SEX_BTSX,Age Group,< 5 years,AGEGROUP_YEARSUNDER5,Wealth Quintile,Total,WEALTHQUINTILE_TOTL,,,,28.79,,,28.18,,29.4,28.8 [28.2-29.4],,,EN,2025-04-14T22:00:00.000Z,2004,711.26,,South-East Asia
89,Democratic People's Republic of Korea,MDG_0000000007,Under-five mortality rate (probability of dying by age 5 per 1000 live births),text,SEAR,South-East Asia,Country,PRK,Year,2004,False,Sex,Both sexes,SEX_BTSX,Age Group,< 5 years,AGEGROUP_YEARSUNDER5,Wealth Quintile,Total,WEALTHQUINTILE_TOTL,,,,33.8,,,26.47,,43.27,33.8 [26.5-43.3],,The UN IGME estimates are not the official statistics of the Democratic People's Republic of Korea.,EN,2025-04-14T22:00:00.000Z,2004,4171.02,,South-East Asia
94,Egypt,MDG_0000000007,Under-five mortality rate (probability of dying by age 5 per 1000 live births),text,EMR,Eastern Mediterranean,Country,EGY,Year,2004,False,Sex,Both sexes,SEX_BTSX,Age Group,< 5 years,AGEGROUP_YEARSUNDER5,Wealth Quintile,Total,WEALTHQUINTILE_TOTL,,,,37.46,,,34.65,,40.48,37.5 [34.7-40.5],,,EN,2025-04-14T22:00:00.000Z,2004,7727.04,,Eastern Mediterranean
101,Iraq,MDG_0000000007,Under-five mortality rate (probability of dying by age 5 per 1000 live births),text,EMR,Eastern Mediterranean,Country,IRQ,Year,2004,False,Sex,Both sexes,SEX_BTSX,Age Group,< 5 years,AGEGROUP_YEARSUNDER5,Wealth Quintile,Total,WEALTHQUINTILE_TOTL,,,,40.67,,,36.67,,45.08,40.7 [36.7-45.1],,,EN,2025-04-14T22:00:00.000Z,2004,16429.17,,Eastern Mediterranean
