,Location,IndicatorCode,Indicator,ValueType,ParentLocationCode,ParentLocation,Location type,SpatialDimValueCode,Period type,Period,IsLatestYear,Dim1 type,Dim1,Dim1ValueCode,Dim2 type,Dim2,Dim2ValueCode,Dim3 type,Dim3,Dim3ValueCode,DataSourceDimValueCode,DataSource,FactValueNumericPrefix,FactValueNumeric,FactValueUoM,FactValueNumericLowPrefix,FactValueNumericLow,FactValueNumericHighPrefix,FactValueNumericHigh,Value,FactValueTranslationID,FactComments,Language,DateModified,Periodr,FactValueNumericr,Comments,ParentLocationr
0,United Arab Emirates,MDG_0000000007,Under-five mortality rate (probability of dying by age 5 per 1000 live births),text,EMR,Eastern Mediterranean,Country,ARE,Year,2004,False,Sex,Both sexes,SEX_BTSX,Age Group,< 5 years,AGEGROUP_YEARSUNDER5,Wealth Quintile,Total,WEALTHQUINTILE_TOTL,,,,9.95,,,9.4,,10.52,10.0 [9.4-10.5],,,EN,2025-04-14T22:00:00.000Z,2004,28.9,,Eastern Mediterranean
1,Qatar,MDG_0000000007,Under-five mortality rate (probability of dying by age 5 per 1000 live births),text,EMR,Eastern Mediterranean,Country,QAT,Year,2004,False,Sex,Both sexes,SEX_BTSX,Age Group,< 5 years,AGEGROUP_YEARSUNDER5,Wealth Quintile,Total,WEALTHQUINTILE_TOTL,,,,10.78,,,10.25,,11.33,10.8 [10.3-11.3],,"The most recent official national estimates of neonatal, infant and under-five mortality rates in Qatar are from the vital registration system, with a rate of 3.6, 5.0 and 6.4 deaths per 1,000 live births for both sexes, respectively, in 2021.",EN,2025-04-14T22:00:00.000Z,2004,3.24,,Eastern Mediterranean
2,Sudan,MDG_0000000007,Under-five mortality rate (probability of dying by age 5 per 1000 live births),text,EMR,Eastern Mediterranean,Country,SDN,Year,2004,False,Sex,Both sexes,SEX_BTSX,Age Group,< 5 years,AGEGROUP_YEARSUNDER5,Wealth Quintile,Total,WEALTHQUINTILE_TOTL,,,,102.6,,,93.09,,112.4,102.6 [93.1-112.4],,,EN,2025-04-14T22:00:00.000Z,2004,14498.72,,Eastern Mediterranean
7,Afghanistan,MDG_0000000007,Under-five mortality rate (probability of dying by age 5 per 1000 live births),text,EMR,Eastern Mediterranean,Country,AFG,Year,2004,False,Sex,Both sexes,SEX_BTSX,Age Group,< 5 years,AGEGROUP_YEARSUNDER5,Wealth Quintile,Total,WEALTHQUINTILE_TOTL,,,,114.2,,,106.1,,123.2,114.2 [106.1-123.2],,,EN,2025-04-14T22:00:00.000Z,2004,62199.95,,Eastern Mediterranean
28,Tonga,MDG_0000000007,Under-five mortality rate (probability of dying by age 5 per 1000 live births),text,WPR,Western Pacific,Country,TON,Year,2004,False,Sex,Both sexes,SEX_BTSX,Age Group,< 5 years,AGEGROUP_YEARSUNDER5,Wealth Quintile,Total,WEALTHQUINTILE_TOTL,,,,15.22,,,13.19,,17.63,15.2 [13.2-17.6],,,EN,2025-04-14T22:00:00.000Z,2004,7.58,,Western Pacific
31,Cook Islands,MDG_0000000007,Under-five mortality rate (probability of dying by age 5 per 1000 live births),text,WPR,Western Pacific,Country,COK,Year,2004,False,Sex,Both sexes,SEX_BTSX,Age Group,< 5 years,AGEGROUP_YEARSUNDER5,Wealth Quintile,Total,WEALTHQUINTILE_TOTL,,,,15.87,,,13.94,,18.14,15.9 [13.9-18.1],,,EN,2025-04-14T22:00:00.000Z,2004,0.5700000000000001,,Western Pacific
36,Lebanon,MDG_0000000007,Under-five mortality rate (probability of dying by age 5 per 1000 live births),text,EMR,Eastern Mediterranean,Country,LBN,Year,2004,False,Sex,Both sexes,SEX_BTSX,Age Group,< 5 years,AGEGROUP_YEARSUNDER5,Wealth Quintile,Total,WEALTHQUINTILE_TOTL,,,,15.96,,,13.2,,19.34,16.0 [13.2-19.3],,,EN,2025-04-14T22:00:00.000Z,2004,138.89,,Eastern Mediterranean
41,Somalia,MDG_0000000007,Under-five mortality rate (probability of dying by age 5 per 1000 live births),text,EMR,Eastern Mediterranean,Country,SOM,Year,2004,False,Sex,Both sexes,SEX_BTSX,Age Group,< 5 years,AGEGROUP_YEARSUNDER5,Wealth Quintile,Total,WEALTHQUINTILE_TOTL,,,,172.3,,,135.5,,223.1,172.3 [135.5-223.1],,,EN,2025-04-14T22:00:00.000Z,2004,13245.73,,Eastern Mediterranean
48,Samoa,MDG_0000000007,Under-five mortality rate (probability of dying by age 5 per 1000 live births),text,WPR,Western Pacific,Country,WSM,Year,2004,False,Sex,Both sexes,SEX_BTSX,Age Group,< 5 years,AGEGROUP_YEARSUNDER5,Wealth Quintile,Total,WEALTHQUINTILE_TOTL,,,,19.39,,,17.12,,21.95,19.4 [17.1-22.0],,,EN,2025-04-14T22:00:00.000Z,2004,15.91,,Western Pacific
50,Syrian Arab Republic,MDG_0000000007,Under-five mortality rate (probability of dying by age 5 per 1000 live births),text,EMR,Eastern Mediterranean,Country,SYR,Year,2004,False,Sex,Both sexes,SEX_BTSX,Age Group,< 5 years,AGEGROUP_YEARSUNDER5,Wealth Quintile,Total,WEALTHQUINTILE_TOTL,,,,20.3,,,18.2,,22.82,20.3 [18.2-22.8],,,EN,2025-04-14T22:00:00.000Z,2004,1356.8,,Eastern Mediterranean
58,Tunisia,MDG_0000000007,Under-five mortality rate (probability of dying by age 5 per 1000 live births),text,EMR,Eastern Mediterranean,Country,TUN,Year,2004,False,Sex,Both sexes,SEX_BTSX,Age Group,< 5 years,AGEGROUP_YEARSUNDER5,Wealth Quintile,Total,WEALTHQUINTILE_TOTL,,,,22.69,,,20.7,,24.84,22.7 [20.7-24.8],,,EN,2025-04-14T22:00:00.000Z,2004,494.54,,Eastern Mediterranean
59,Jordan,MDG_0000000007,Under-five mortality rate (probability of dying by age 5 per 1000 live births),text,EMR,Eastern Mediterranean,Country,JOR,Year,2004,False,Sex,Both sexes,SEX_BTSX,Age Group,< 5 years,AGEGROUP_YEARSUNDER5,Wealth Quintile,Total,WEALTHQUINTILE_TOTL,,,,22.73,,,20.91,,24.7,22.7 [20.9-24.7],,,EN,2025-04-14T22:00:00.000Z,2004,416.0,,Eastern Mediterranean
60,Palau,MDG_0000000007,Under-five mortality rate (probability of dying by age 5 per 1000 live births),text,WPR,Western Pacific,Country,PLW,Year,2004,False,Sex,Both sexes,SEX_BTSX,Age Group,< 5 years,AGEGROUP_YEARSUNDER5,Wealth Quintile,Total,WEALTHQUINTILE_TOTL,,,,22.93,,,19.41,,27.24,22.9 [19.4-27.2],,,EN,2025-04-14T22:00:00.000Z,2004,0.88,,Western Pacific
61,Fiji,MDG_0000000007,Under-five mortality rate (probability of dying by age 5 per 1000 live births),text,WPR,Western Pacific,Country,FJI,Year,2004,False,Sex,Both sexes,SEX_BTSX,Age Group,< 5 years,AGEGROUP_YEARSUNDER5,Wealth Quintile,Total,WEALTHQUINTILE_TOTL,,,,23.08,,,22.33,,23.85,23.1 [22.3-23.8],,,EN,2025-04-14T22:00:00.000Z,2004,10.18,,Western Pacific
64,Vanuatu,MDG_0000000007,Under-five mortality rate (probability of dying by age 5 per 1000 live births),text,WPR,Western Pacific,Country,VUT,Year,2004,False,Sex,Both sexes,SEX_BTSX,Age Group,< 5 years,AGEGROUP_YEARSUNDER5,Wealth Quintile,Total,WEALTHQUINTILE_TOTL,,,,24.97,,,21.52,,29.18,25.0 [21.5-29.2],,,EN,2025-04-14T22:00:00.000Z,2004,12.57,,Western Pacific
