,Location,IndicatorCode,Indicator,ValueType,ParentLocationCode,ParentLocation,Location type,SpatialDimValueCode,Period type,Period,IsLatestYear,Dim1 type,Dim1,Dim1ValueCode,Dim2 type,Dim2,Dim2ValueCode,Dim3 type,Dim3,Dim3ValueCode,DataSourceDimValueCode,DataSource,FactValueNumericPrefix,FactValueNumeric,FactValueUoM,FactValueNumericLowPrefix,FactValueNumericLow,FactValueNumericHighPrefix,FactValueNumericHigh,Value,FactValueTranslationID,FactComments,Language,DateModified,Periodr,FactValueNumericr,Comments,ParentLocationr
0,United Arab Emirates,MDG_0000000007,Under-five mortality rate (probability of dying by age 5 per 1000 live births),text,EMR,Eastern Mediterranean,Country,ARE,Year,2004,False,Sex,Both sexes,SEX_BTSX,Age Group,< 5 years,AGEGROUP_YEARSUNDER5,Wealth Quintile,Total,WEALTHQUINTILE_TOTL,,,,9.95,,,9.4,,10.52,10.0 [9.4-10.5],,,EN,2025-04-14T22:00:00.000Z,2004,28.9,,Eastern Mediterranean
1,Qatar,MDG_0000000007,Under-five mortality rate (probability of dying by age 5 per 1000 live births),text,EMR,Eastern Mediterranean,Country,QAT,Year,2004,False,Sex,Both sexes,SEX_BTSX,Age Group,< 5 years,AGEGROUP_YEARSUNDER5,Wealth Quintile,Total,WEALTHQUINTILE_TOTL,,,,10.78,,,10.25,,11.33,10.8 [10.3-11.3],,"The most recent official national estimates of neonatal, infant and under-five mortality rates in Qatar are from the vital registration system, with a rate of 3.6, 5.0 and 6.4 deaths per 1,000 live births for both sexes, respectively, in 2021.",EN,2025-04-14T22:00:00.000Z,2004,3.24,,Eastern Mediterranean
2,Sudan,MDG_0000000007,Under-five mortality rate (probability of dying by age 5 per 1000 live births),text,EMR,Eastern Mediterranean,Country,SDN,Year,2004,False,Sex,Both sexes,SEX_BTSX,Age Group,< 5 years,AGEGROUP_YEARSUNDER5,Wealth Quintile,Total,WEALTHQUINTILE_TOTL,,,,102.6,,,93.09,,112.4,102.6 [93.1-112.4],,,EN,2025-04-14T22:00:00.000Z,2004,14498.72,,Eastern Mediterranean
7,Afghanistan,MDG_0000000007,Under-five mortality rate (probability of dying by age 5 per 1000 live births),text,EMR,Eastern Mediterranean,Country,AFG,Year,2004,False,Sex,Both sexes,SEX_BTSX,Age Group,< 5 years,AGEGROUP_YEARSUNDER5,Wealth Quintile,Total,WEALTHQUINTILE_TOTL,,,,114.2,,,106.1,,123.2,114.2 [106.1-123.2],,,EN,2025-04-14T22:00:00.000Z,2004,62199.95,,Eastern Mediterranean
36,Lebanon,MDG_0000000007,Under-five mortality rate (probability of dying by age 5 per 1000 live births),text,EMR,Eastern Mediterranean,Country,LBN,Year,2004,False,Sex,Both sexes,SEX_BTSX,Age Group,< 5 years,AGEGROUP_YEARSUNDER5,Wealth Quintile,Total,WEALTHQUINTILE_TOTL,,,,15.96,,,13.2,,19.34,16.0 [13.2-19.3],,,EN,2025-04-14T22:00:00.000Z,2004,138.89,,Eastern Mediterranean
41,Somalia,MDG_0000000007,Under-five mortality rate (probability of dying by age 5 per 1000 live births),text,EMR,Eastern Mediterranean,Country,SOM,Year,2004,False,Sex,Both sexes,SEX_BTSX,Age Group,< 5 years,AGEGROUP_YEARSUNDER5,Wealth Quintile,Total,WEALTHQUINTILE_TOTL,,,,172.3,,,135.5,,223.1,172.3 [135.5-223.1],,,EN,2025-04-14T22:00:00.000Z,2004,13245.73,,Eastern Mediterranean
50,Syrian Arab Republic,MDG_0000000007,Under-five mortality rate (probability of dying by age 5 per 1000 live births),text,EMR,Eastern Mediterranean,Country,SYR,Year,2004,False,Sex,Both sexes,SEX_BTSX,Age Group,< 5 years,AGEGROUP_YEARSUNDER5,Wealth Quintile,Total,WEALTHQUINTILE_TOTL,,,,20.3,,,18.2,,22.82,20.3 [18.2-22.8],,,EN,2025-04-14T22:00:00.000Z,2004,1356.8,,Eastern Mediterranean
58,Tunisia,MDG_0000000007,Under-five mortality rate (probability of dying by age 5 per 1000 live births),text,EMR,Eastern Mediterranean,Country,TUN,Year,2004,False,Sex,Both sexes,SEX_BTSX,Age Group,< 5 years,AGEGROUP_YEARSUNDER5,Wealth Quintile,Total,WEALTHQUINTILE_TOTL,,,,22.69,,,20.7,,24.84,22.7 [20.7-24.8],,,EN,2025-04-14T22:00:00.000Z,2004,494.54,,Eastern Mediterranean
59,Jordan,MDG_0000000007,Under-five mortality rate (probability of dying by age 5 per 1000 live births),text,EMR,Eastern Mediterranean,Country,JOR,Year,2004,False,Sex,Both sexes,SEX_BTSX,Age Group,< 5 years,AGEGROUP_YEARSUNDER5,Wealth Quintile,Total,WEALTHQUINTILE_TOTL,,,,22.73,,,20.91,,24.7,22.7 [20.9-24.7],,,EN,2025-04-14T22:00:00.000Z,2004,416.0,,Eastern Mediterranean
94,Egypt,MDG_0000000007,Under-five mortality rate (probability of dying by age 5 per 1000 live births),text,EMR,Eastern Mediterranean,Country,EGY,Year,2004,False,Sex,Both sexes,SEX_BTSX,Age Group,< 5 years,AGEGROUP_YEARSUNDER5,Wealth Quintile,Total,WEALTHQUINTILE_TOTL,,,,37.46,,,34.65,,40.48,37.5 [34.7-40.5],,,EN,2025-04-14T22:00:00.000Z,2004,7727.04,,Eastern Mediterranean
101,Iraq,MDG_0000000007,Under-five mortality rate (probability of dying by age 5 per 1000 live births),text,EMR,Eastern Mediterranean,Country,IRQ,Year,2004,False,Sex,Both sexes,SEX_BTSX,Age Group,< 5 years,AGEGROUP_YEARSUNDER5,Wealth Quintile,Total,WEALTHQUINTILE_TOTL,,,,40.67,,,36.67,,45.08,40.7 [36.7-45.1],,,EN,2025-04-14T22:00:00.000Z,2004,16429.17,,Eastern Mediterranean
105,Morocco,MDG_0000000007,Under-five mortality rate (probability of dying by age 5 per 1000 live births),text,EMR,Eastern Mediterranean,Country,MAR,Year,2004,False,Sex,Both sexes,SEX_BTSX,Age Group,< 5 years,AGEGROUP_YEARSUNDER5,Wealth Quintile,Total,WEALTHQUINTILE_TOTL,,,,43.55,,,39.3,,48.68,43.6 [39.3-48.7],,,EN,2025-04-14T22:00:00.000Z,2004,3386.09,,Eastern Mediterranean
137,Yemen,MDG_0000000007,Under-five mortality rate (probability of dying by age 5 per 1000 live births),text,EMR,Eastern Mediterranean,Country,YEM,Year,2004,False,Sex,Both sexes,SEX_BTSX,Age Group,< 5 years,AGEGROUP_YEARSUNDER5,Wealth Quintile,Total,WEALTHQUINTILE_TOTL,,,,74.72,,,68.26,,81.28,74.7 [68.3-81.3],,,EN,2025-04-14T22:00:00.000Z,2004,12889.7,,Eastern Mediterranean
152,Djibouti,MDG_0000000007,Under-five mortality rate (probability of dying by age 5 per 1000 live births),text,EMR,Eastern Mediterranean,Country,DJI,Year,2004,False,Sex,Both sexes,SEX_BTSX,Age Group,< 5 years,AGEGROUP_YEARSUNDER5,Wealth Quintile,Total,WEALTHQUINTILE_TOTL,,,,90.04,,,75.4,,108.3,90.0 [75.4-108.3],,,EN,2025-04-14T22:00:00.000Z,2004,484.43,,Eastern Mediterranean
160,Pakistan,MDG_0000000007,Under-five mortality rate (probability of dying by age 5 per 1000 live births),text,EMR,Eastern Mediterranean,Country,PAK,Year,2004,False,Sex,Both sexes,SEX_BTSX,Age Group,< 5 years,AGEGROUP_YEARSUNDER5,Wealth Quintile,Total,WEALTHQUINTILE_TOTL,,,,98.47,,,94.18,,103.0,98.5 [94.2-103.0],,,EN,2025-04-14T22:00:00.000Z,2004,46136.99,,Eastern Mediterranean
